ccaa,year,sexo,tasa_neta_bach
La Rioja,2016,hombre,46.3
La Rioja,2016,mujer,60.8
La Rioja,2017,hombre,45.2
La Rioja,2017,mujer,60.7
La Rioja,2018,hombre,43.2
La Rioja,2018,mujer,61.9
La Rioja,2019,hombre,46.1
La Rioja,2019,mujer,61.6
La Rioja,2020,hombre,39.4
La Rioja,2020,mujer,61.3
La Rioja,2021,hombre,44.4
La Rioja,2021,mujer,60.4
Madrid,2016,hombre,58.8
Madrid,2016,mujer,69.1
Madrid,2017,hombre,57.4
Madrid,2017,mujer,68.0
Madrid,2018,hombre,55.5
Madrid,2018,mujer,67.6
Madrid,2019,hombre,63.4
Madrid,2019,mujer,71.4
Madrid,2020,hombre,56.5
Madrid,2020,mujer,68.1
Madrid,2021,hombre,58.7
Madrid,2021,mujer,69.4
Melilla,2016,hombre,37.8
Melilla,2016,mujer,58.7
Melilla,2017,hombre,34.0
Melilla,2017,mujer,48.8
Melilla,2018,hombre,32.9
Melilla,2018,mujer,56.1
Melilla,2019,hombre,41.9
Melilla,2019,mujer,60.1
Melilla,2020,hombre,42.7
Melilla,2020,mujer,57.2
Melilla,2021,hombre,39.8
Melilla,2021,mujer,58.8
Murcia,2016,hombre,48.7
Murcia,2016,mujer,64.4
Murcia,2017,hombre,48.2
Murcia,2017,mujer,63.1
Murcia,2018,hombre,47.7
Murcia,2018,mujer,62.7
Murcia,2019,hombre,52.6
Murcia,2019,mujer,62.8
Murcia,2020,hombre,46.6
Murcia,2020,mujer,63.8
Murcia,2021,hombre,47.2
Murcia,2021,mujer,63.8
Navarra,2016,hombre,49.2
Navarra,2016,mujer,67.1
Navarra,2017,hombre,48.1
Navarra,2017,mujer,64.1
Navarra,2018,hombre,48.6
Navarra,2018,mujer,63.9
Navarra,2019,hombre,50.2
Navarra,2019,mujer,66.6
Navarra,2020,hombre,49.9
Navarra,2020,mujer,68.4
Navarra,2021,hombre,47.9
Navarra,2021,mujer,64.1
Pais Vasco,2016,hombre,58.9
Pais Vasco,2016,mujer,75.6
Pais Vasco,2017,hombre,59.8
Pais Vasco,2017,mujer,75.6
Pais Vasco,2018,hombre,57.2
Pais Vasco,2018,mujer,73.4
Pais Vasco,2019,hombre,56.3
Pais Vasco,2019,mujer,71.2
Pais Vasco,2020,hombre,59.0
Pais Vasco,2020,mujer,75.8
Pais Vasco,2021,hombre,59.6
Pais Vasco,2021,mujer,76.8
