ccaa,pct_fpsuperior_publico,pct_fpsuperior_privado
Andalucia,0.5936340953536988,0.4063659046463012
Aragon,0.585603599100225,0.41439640089977503
Asturias,0.7456106125634022,0.2543893874365977
Canarias,0.8693467336683417,0.1306532663316583
Cantabria,0.7057813394390383,0.29421866056096163
Castilla La Mancha,0.8538408063955509,0.14615919360444907
Castilla y Leon,0.7165421195652174,0.2834578804347826
Cataluña,0.6214762212179901,0.3785237787820099
Ceuta,1.0,0.0
Comunidad Valenciana,0.6809741583558323,0.3190258416441677
Extremadura,0.8033309709425939,0.1966690290574061
Galicia,0.7723639132089837,0.22763608679101638
Islas Baleares,0.8059461631177179,0.19405383688228203
La Rioja,0.7637130801687764,0.23628691983122363
Madrid,0.5854581115158307,0.41454188848416923
Melilla,1.0,0.0
Murcia,0.6729301233118027,0.3270698766881973
Navarra,0.7690124858115778,0.23098751418842225
Pais Vasco,0.5362637362637362,0.46373626373626375
