ccaa,year,sexo,tasa_bruta_eso,tasa_bruta_bach,tasabrutaFP_basica,tasabrutaFP_Media,tasabrutaFP_superior,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general,PIB_per_capita
Asturias,2015,mujer,90.2,74.9,1.2,32.9,37.0,0.9,24.225,30.075,6.0,19.200000000000003,6.65,13.025,20497.0
Asturias,2016,hombre,76.7,55.6,2.6,27.4,31.9,0.35,20.25,31.725,2.625,24.175,7.75,13.15,20913.0
Asturias,2016,mujer,84.2,72.0,1.1,31.3,32.8,0.8250000000000001,25.1,30.725,4.5,19.275,6.85,12.725,20913.0
Asturias,2017,hombre,80.2,57.4,3.3,26.3,35.0,0.525,17.55,33.35,2.225,25.7,7.925,12.75,21897.0
Asturias,2017,mujer,86.5,71.2,1.2,27.7,32.9,0.95,23.025,30.950000000000003,3.275,21.375,7.05,13.425,21897.0
Asturias,2018,hombre,80.9,59.3,3.6,24.9,32.5,0.575,15.45,33.15,2.4,26.175,8.15,14.0,22651.0
Asturias,2018,mujer,88.6,71.8,1.1,30.0,34.5,0.8,20.925,31.8,3.85,22.275,7.575,12.775,22651.0
Asturias,2019,hombre,88.6,68.2,4.2,23.8,28.5,0.35,12.675,33.65,1.85,30.3,7.125,14.025,23220.0
Asturias,2019,mujer,91.7,78.6,1.5,27.6,30.5,0.625,17.3,31.45,4.125,24.225,8.725,13.475,23220.0
Asturias,2020,hombre,83.8,58.4,3.2,29.2,44.9,0.5,10.725,34.65,1.5,29.475,8.425,14.7,21069.0
Asturias,2020,mujer,91.3,72.4,1.5,32.9,45.2,0.625,15.575,32.675,3.15,25.9,9.15,12.925,21069.0
Asturias,2021,hombre,85.5,57.9,3.4,24.1,37.9,0.5,8.825,34.15,1.75,31.3,9.65,13.825,23446.0
Asturias,2021,mujer,89.2,68.1,1.4,29.0,35.7,0.675,13.925,33.0,3.425,28.45,8.575,11.9,23446.0
Asturias,2022,hombre,83.2,56.5,2.8,23.9,35.4,0.825,6.875,33.525,2.025,33.725,9.375,13.6,26544.0
Asturias,2022,mujer,87.9,70.9,1.5,29.2,34.9,0.675,11.225000000000001,32.525,3.075,30.6,8.825,13.075,26544.0
Canarias,2014,hombre,72.2,48.3,5.1375,28.7,27.2,1.8250000000000002,17.375,20.825,7.9,30.225,6.375,15.5,18268.0
Canarias,2014,mujer,82.8,62.4,5.1375,28.2,35.7,3.125,15.375,23.425,9.175,26.975,6.7,15.225,18268.0
Canarias,2015,hombre,74.5,50.7,4.4,26.4,29.6,1.95,15.825,20.799999999999997,7.875,30.424999999999997,7.15,15.975,18881.0
Canarias,2015,mujer,85.3,65.6,1.6,26.6,35.5,2.675,15.149999999999999,22.975,8.5,27.175,8.149999999999999,15.375,18881.0
Canarias,2016,hombre,68.0,49.2,6.1,24.3,28.5,1.725,14.625,23.225,6.875,29.95,7.4,16.15,19450.0
Canarias,2016,mujer,79.0,65.4,2.1,23.9,34.2,2.075,14.725,25.15,7.825,26.5,7.025,16.675,19450.0
Canarias,2017,hombre,73.2,50.1,5.9,24.8,28.4,1.6,15.1,23.9,6.35,29.4,7.55,16.075000000000003,20296.0
Canarias,2017,mujer,84.5,67.0,2.9,24.3,37.3,2.125,14.05,25.1,7.225,27.05,7.35,17.05,20296.0
Canarias,2018,hombre,75.5,51.1,6.1,23.5,26.7,1.4249999999999998,13.85,24.825,6.075,30.6,7.275,15.975,20853.0
Canarias,2018,mujer,85.0,65.2,2.5,22.8,34.1,2.2,13.5,25.625,7.55,26.975,8.275,15.925,20853.0
Canarias,2019,hombre,81.8,58.9,6.8,20.9,26.9,0.925,14.4,26.7,5.05,29.85,6.975,16.075,21159.0
Canarias,2019,mujer,90.2,74.9,2.6,23.5,35.6,2.175,13.525,28.1,6.225,25.6,8.0,16.375,21159.0
Canarias,2020,hombre,81.4,54.8,6.1,26.9,34.4,1.325,13.15,26.825,4.9,28.25,7.6499999999999995,17.9,17239.0
