ccaa,year,sexo,tasanetaFP_basica
La Rioja,2016,hombre,9.7
La Rioja,2016,mujer,5.3
La Rioja,2017,hombre,11.5
La Rioja,2017,mujer,6.5
La Rioja,2018,hombre,13.7
La Rioja,2018,mujer,7.6
La Rioja,2019,hombre,13.9
La Rioja,2019,mujer,7.1
La Rioja,2020,hombre,12.3
La Rioja,2020,mujer,9.0
La Rioja,2021,hombre,10.4
La Rioja,2021,mujer,4.9
Madrid,2016,hombre,3.9
Madrid,2016,mujer,2.2
Madrid,2017,hombre,4.4
Madrid,2017,mujer,2.5
Madrid,2018,hombre,3.9
Madrid,2018,mujer,2.1
Madrid,2019,hombre,4.8
Madrid,2019,mujer,2.7
Madrid,2020,hombre,4.4
Madrid,2020,mujer,2.7
Madrid,2021,hombre,4.5
Madrid,2021,mujer,2.6
Melilla,2016,hombre,6.0
Melilla,2016,mujer,4.2
Melilla,2017,hombre,9.5
Melilla,2017,mujer,4.7
Melilla,2018,hombre,7.4
Melilla,2018,mujer,3.1
Melilla,2019,hombre,9.5
Melilla,2019,mujer,3.5
Melilla,2020,hombre,8.3
Melilla,2020,mujer,6.6
Melilla,2021,hombre,12.1
Melilla,2021,mujer,5.5
Murcia,2016,hombre,5.8
Murcia,2016,mujer,3.4
Murcia,2017,hombre,7.4
Murcia,2017,mujer,4.2
Murcia,2018,hombre,8.2
Murcia,2018,mujer,4.6
Murcia,2019,hombre,8.3
Murcia,2019,mujer,5.5
Murcia,2020,hombre,10.0
Murcia,2020,mujer,5.9
Murcia,2021,hombre,8.9
Murcia,2021,mujer,4.8
Navarra,2016,hombre,5.6
Navarra,2016,mujer,2.0
Navarra,2017,hombre,6.6
Navarra,2017,mujer,2.6
Navarra,2018,hombre,6.3
Navarra,2018,mujer,3.0
Navarra,2019,hombre,7.5
Navarra,2019,mujer,3.6
Navarra,2020,hombre,8.3
Navarra,2020,mujer,3.6
Navarra,2021,hombre,6.3
Navarra,2021,mujer,2.9
Pais Vasco,2016,hombre,10.2
Pais Vasco,2016,mujer,4.3
Pais Vasco,2017,hombre,10.4
Pais Vasco,2017,mujer,4.8
Pais Vasco,2018,hombre,10.0
Pais Vasco,2018,mujer,4.1
Pais Vasco,2019,hombre,8.8
Pais Vasco,2019,mujer,4.2
Pais Vasco,2020,hombre,10.7
Pais Vasco,2020,mujer,4.3
Pais Vasco,2021,hombre,8.8
Pais Vasco,2021,mujer,3.6
