ccaa,year,sexo,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general
Asturias,2022,hombre,0.825,6.875,33.525,2.025,33.725,9.375,13.6
Asturias,2022,mujer,0.675,11.225000000000001,32.525,3.075,30.6,8.825,13.075
Asturias,2023,hombre,0.275,7.15,32.15,1.525,34.275,10.6,14.025
Asturias,2023,mujer,0.35,10.25,34.225,2.45,30.2,8.825,13.725
Asturias,2024,hombre,0.325,6.35,32.5,0.775,33.0,11.1,15.95
Asturias,2024,mujer,0.75,8.6,34.725,2.925,29.35,10.325,13.3
Asturias,2025,hombre,0.325,5.8,35.7,1.1,30.475,11.075,15.55
Asturias,2025,mujer,0.475,9.075,35.75,2.525,28.0,11.25,12.95
Canarias,2014,hombre,1.8250000000000002,17.375,20.825,7.9,30.225,6.375,15.5
Canarias,2014,mujer,3.125,15.375,23.425,9.175,26.975,6.7,15.225
Canarias,2015,hombre,1.95,15.825,20.799999999999997,7.875,30.424999999999997,7.15,15.975
Canarias,2015,mujer,2.675,15.149999999999999,22.975,8.5,27.175,8.149999999999999,15.375
Canarias,2016,hombre,1.725,14.625,23.225,6.875,29.95,7.4,16.15
Canarias,2016,mujer,2.075,14.725,25.15,7.825,26.5,7.025,16.675
Canarias,2017,hombre,1.6,15.1,23.9,6.35,29.4,7.55,16.075000000000003
Canarias,2017,mujer,2.125,14.05,25.1,7.225,27.05,7.35,17.05
Canarias,2018,hombre,1.4249999999999998,13.85,24.825,6.075,30.6,7.275,15.975
Canarias,2018,mujer,2.2,13.5,25.625,7.55,26.975,8.275,15.925
Canarias,2019,hombre,0.925,14.4,26.7,5.05,29.85,6.975,16.075
Canarias,2019,mujer,2.175,13.525,28.1,6.225,25.6,8.0,16.375
Canarias,2020,hombre,1.325,13.15,26.825,4.9,28.25,7.6499999999999995,17.9
Canarias,2020,mujer,2.3,11.825,30.6,6.425,23.475,7.4,17.975
Canarias,2021,hombre,1.8499999999999999,12.325,27.4,4.75,28.55,8.275,16.925
Canarias,2021,mujer,1.825,11.6,31.775,6.675,22.95,7.65,17.549999999999997
Canarias,2022,hombre,1.225,11.95,27.8,4.475,28.6,8.575,17.4
Canarias,2022,mujer,1.7,11.3,32.15,5.3,23.8,7.85,17.9
Canarias,2023,hombre,0.825,12.4,25.15,4.4,30.25,9.175,17.8
Canarias,2023,mujer,1.7999999999999998,12.225,31.35,4.825,23.650000000000002,8.65,17.55
Canarias,2024,hombre,1.2,10.15,27.174999999999997,4.1,30.85,8.375,18.15
Canarias,2024,mujer,1.65,11.3,31.825,4.55,23.7,8.85,18.15
Canarias,2025,hombre,1.05,10.3,27.875,3.95,30.075,7.5,19.275
Canarias,2025,mujer,1.475,9.35,31.85,4.7,24.15,8.8,19.675
Cantabria,2014,hombre,0.3,14.25,29.8,1.8,29.55,10.525,13.775
Cantabria,2014,mujer,0.4,19.725,29.85,3.325,23.45,9.225,14.0
Cantabria,2015,hombre,0.5,12.775,30.375,1.475,31.875,9.8,13.225000000000001
Cantabria,2015,mujer,0.425,18.75,29.75,2.975,25.875,9.125,13.025
Cantabria,2016,hombre,0.275,12.4,30.4,1.275,31.675,10.2,13.775
Cantabria,2016,mujer,0.475,18.4,31.424999999999997,1.85,25.825,9.575,12.475
Cantabria,2017,hombre,0.45,11.875,31.6,1.15,30.65,11.1,13.175
Cantabria,2017,mujer,0.55,17.175,31.55,2.0,25.1,10.725000000000001,12.925
Cantabria,2018,hombre,0.325,11.875,30.125,0.8,29.625,11.3,15.95
Cantabria,2018,mujer,0.55,17.525,32.875,1.35,23.775,10.275,13.65
Cantabria,2019,hombre,0.275,10.075,31.4,0.7,31.625,10.725,15.175
Cantabria,2019,mujer,0.35,16.15,32.95,1.275,25.35,10.2,13.75
Cantabria,2020,hombre,0.425,8.525,32.925,0.8,32.825,11.875,12.6
Cantabria,2020,mujer,0.3,12.85,34.175,1.3,28.5,10.0,12.875
Cantabria,2021,hombre,0.30000000000000004,8.0,33.125,0.8500000000000001,33.275,12.075,12.4
Cantabria,2021,mujer,0.275,11.3,34.724999999999994,1.375,29.35,10.8,12.225
Cantabria,2022,hombre,0.4,7.475,34.0,0.725,32.625,10.625,14.2
Cantabria,2022,mujer,0.325,9.95,36.025,0.8999999999999999,30.4,10.025,12.375
Cantabria,2023,hombre,0.225,5.95,38.125,0.45,30.8,10.125,14.299999999999999
Cantabria,2023,mujer,0.3,9.975,38.75,0.55,27.425,10.575,12.45
Cantabria,2024,hombre,0.2,5.1,37.25,0.725,31.425,10.925,14.325
Cantabria,2024,mujer,0.325,7.1000000000000005,38.1,1.025,30.1,10.45,12.899999999999999
Cantabria,2025,hombre,0.30000000000000004,5.55,34.775,0.575,31.924999999999997,11.65,15.2
Cantabria,2025,mujer,0.125,6.825,38.9,1.1,29.8,9.25,14.025
Castilla - La Mancha,2014,hombre,1.6,13.399999999999999,19.8,10.9,35.2,6.325,12.7
Castilla - La Mancha,2014,mujer,3.175,14.575,22.075000000000003,13.125,27.725,7.4,11.95
Castilla - La Mancha,2015,hombre,1.4249999999999998,12.725,20.15,10.1,35.95,6.725,12.925
Castilla - La Mancha,2015,mujer,3.225,14.45,21.8,12.1,28.75,7.6,12.1
Castilla - La Mancha,2016,hombre,1.4249999999999998,13.075,19.55,9.625,37.15,6.825,12.375
Castilla - La Mancha,2016,mujer,3.225,13.95,22.425,11.525,29.575,7.425,11.85
Castilla - La Mancha,2017,hombre,1.5,12.5,19.625,9.5,37.325,7.15,12.4
Castilla - La Mancha,2017,mujer,3.15,13.075,22.55,11.05,30.325,7.375,12.4
Castilla - La Mancha,2018,hombre,1.45,11.675,20.375,8.475,37.5,7.35,13.15
Castilla - La Mancha,2018,mujer,2.575,12.7,23.075,10.575,31.575000000000003,7.15,12.325
Castilla - La Mancha,2019,hombre,1.4500000000000002,12.45,21.825,6.925,37.1,7.2,13.0
Castilla - La Mancha,2019,mujer,2.6500000000000004,13.350000000000001,24.3,9.075,30.85,7.949999999999999,11.875
Castilla - La Mancha,2020,hombre,1.175,12.375,22.225,6.35,37.175,7.575,13.05
Castilla - La Mancha,2020,mujer,2.15,12.625,25.6,8.4,30.625,7.949999999999999,12.725
Castilla - La Mancha,2021,hombre,1.15,11.775,22.7,6.325,36.175,8.2,13.75
Castilla - La Mancha,2021,mujer,2.2,11.925,26.625,7.975,30.075000000000003,7.75,13.525
