ccaa,pct_fpmedio_publico,pct_fpmedio_privado
Andalucia,0.6113857307628934,0.3886142692371066
Aragon,0.6405543838505574,0.3594456161494426
Asturias,0.6704668838219326,0.3295331161780673
Canarias,0.9119223895838652,0.0880776104161348
Cantabria,0.668856767411301,0.3311432325886991
Castilla La Mancha,0.7664012135001896,0.2335987864998104
Castilla y Leon,0.6622641509433962,0.33773584905660375
Cataluña,0.6913681151523408,0.30863188484765924
Ceuta,1.0,0.0
Comunidad Valenciana,0.6668276195074843,0.3331723804925157
Extremadura,0.8150093808630394,0.1849906191369606
Galicia,0.7615687561535937,0.2384312438464063
Islas Baleares,0.7570863546473302,0.24291364535266974
La Rioja,0.6862302483069977,0.31376975169300225
Madrid,0.5564199557490543,0.44358004425094566
Melilla,1.0,0.0
Murcia,0.6690158570349861,0.33098414296501383
Navarra,0.7891602144133413,0.21083978558665872
Pais Vasco,0.6018139783033968,0.3981860216966032
