ccaa,pct_centro_primaria,pct_centro_secundaria
Andalucia,0.14285714285714285,0.8571428571428571
Aragon,0.6628440366972477,0.33715596330275227
Asturias,0.6687116564417178,0.3312883435582822
Canarias,0.7065637065637066,0.29343629343629346
Cantabria,0.6697674418604651,0.3302325581395349
Castilla La Mancha,0.7105831533477321,0.2894168466522678
Castilla y Leon,0.68,0.32
Cataluña,0.18229557389347337,0.8177044261065266
Ceuta,0.7083333333333334,0.2916666666666667
Comunidad Valenciana,0.17456021650879566,0.8254397834912043
Extremadura,0.7195767195767195,0.2804232804232804
Galicia,0.6494312306101344,0.3505687693898656
Islas Baleares,0.7015384615384616,0.29846153846153844
La Rioja,0.6373626373626373,0.3626373626373626
Madrid,0.6193643754619365,0.38063562453806354
Melilla,0.6818181818181818,0.3181818181818182
Murcia,0.7303370786516854,0.2696629213483146
Navarra,0.6755725190839694,0.3244274809160305
Pais Vasco,0.5411954765751211,0.4588045234248788
