ccaa,year,sexo,tasabrutaFP_Media
Asturias,2008,mujer,21.2
Asturias,2009,hombre,19.4
Asturias,2009,mujer,22.5
Asturias,2010,hombre,23.7
Asturias,2010,mujer,28.4
Asturias,2011,hombre,28.3
Asturias,2011,mujer,33.1
Asturias,2012,hombre,31.2
Asturias,2012,mujer,31.9
Asturias,2013,hombre,34.0
Asturias,2013,mujer,32.1
Asturias,2014,hombre,33.7
Asturias,2014,mujer,35.0
Asturias,2015,hombre,31.2
Asturias,2015,mujer,32.9
Asturias,2016,hombre,27.4
Asturias,2016,mujer,31.3
Asturias,2017,hombre,26.3
Asturias,2017,mujer,27.7
Asturias,2018,hombre,24.9
Asturias,2018,mujer,30.0
Asturias,2019,hombre,23.8
Asturias,2019,mujer,27.6
Asturias,2020,hombre,29.2
Asturias,2020,mujer,32.9
Asturias,2021,hombre,24.1
Asturias,2021,mujer,29.0
Asturias,2022,hombre,23.9
Asturias,2022,mujer,29.2
Canarias,1990,hombre,17.2
Canarias,1990,mujer,18.5
Canarias,1991,hombre,11.8
Canarias,1991,mujer,16.6
Canarias,1992,hombre,19.6
Canarias,1992,mujer,23.6
Canarias,1993,hombre,18.0
Canarias,1993,mujer,19.9
Canarias,1994,hombre,23.9
Canarias,1994,mujer,25.9
Canarias,1995,hombre,12.7
Canarias,1995,mujer,13.5
Canarias,1996,hombre,25.8
Canarias,1996,mujer,26.1
Canarias,1997,hombre,10.8
Canarias,1997,mujer,12.4
Canarias,1998,hombre,8.7
Canarias,1998,mujer,10.5
Canarias,1999,hombre,7.7
Canarias,1999,mujer,5.1
Canarias,2000,hombre,10.4
Canarias,2000,mujer,7.7
Canarias,2001,hombre,11.4
Canarias,2001,mujer,11.0
Canarias,2002,hombre,10.0
Canarias,2002,mujer,10.4
Canarias,2003,hombre,14.3
Canarias,2003,mujer,16.6
Canarias,2004,hombre,14.4
Canarias,2004,mujer,15.9
Canarias,2005,hombre,13.9
Canarias,2005,mujer,15.7
Canarias,2006,hombre,15.0
Canarias,2006,mujer,12.8
Canarias,2007,hombre,12.9
Canarias,2007,mujer,17.3
Canarias,2008,hombre,16.6
Canarias,2008,mujer,17.6
Canarias,2009,hombre,17.0
Canarias,2009,mujer,22.0
Canarias,2010,hombre,17.9
Canarias,2010,mujer,23.0
Canarias,2011,hombre,20.7
Canarias,2011,mujer,22.7
Canarias,2012,hombre,21.5
Canarias,2012,mujer,21.9
Canarias,2013,hombre,25.3
Canarias,2013,mujer,24.2
Canarias,2014,hombre,28.7
Canarias,2014,mujer,28.2
Canarias,2015,hombre,26.4
Canarias,2015,mujer,26.6
Canarias,2016,hombre,24.3
Canarias,2016,mujer,23.9
Canarias,2017,hombre,24.8
Canarias,2017,mujer,24.3
Canarias,2018,hombre,23.5
Canarias,2018,mujer,22.8
Canarias,2019,hombre,20.9
Canarias,2019,mujer,23.5
Canarias,2020,hombre,26.9
Canarias,2020,mujer,26.1
Canarias,2021,hombre,22.0
Canarias,2021,mujer,23.6
Canarias,2022,hombre,23.0
Canarias,2022,mujer,25.2
Cantabria,1990,hombre,19.8
Cantabria,1990,mujer,24.4
Cantabria,1991,hombre,18.4
Cantabria,1991,mujer,22.1
Cantabria,1992,hombre,19.0
Cantabria,1992,mujer,20.4
Cantabria,1993,hombre,19.7
Cantabria,1993,mujer,22.9
Cantabria,1994,hombre,18.9
Cantabria,1994,mujer,19.8
Cantabria,1995,hombre,14.7
Cantabria,1995,mujer,17.8
Cantabria,1996,hombre,16.0
Cantabria,1996,mujer,15.4
Cantabria,1997,hombre,13.9
Cantabria,1997,mujer,16.8
Cantabria,1998,hombre,16.7
Cantabria,1998,mujer,18.2
Cantabria,1999,hombre,10.0
Cantabria,1999,mujer,13.3
Cantabria,2000,hombre,13.6
Cantabria,2000,mujer,15.7
Cantabria,2001,hombre,16.2
Cantabria,2001,mujer,17.3
Cantabria,2002,hombre,17.9
Cantabria,2002,mujer,20.4
Cantabria,2003,hombre,16.2
Cantabria,2003,mujer,23.1
Cantabria,2004,hombre,17.2
Cantabria,2004,mujer,24.9
Cantabria,2005,hombre,19.6
Cantabria,2005,mujer,23.5
Cantabria,2006,hombre,18.4
Cantabria,2006,mujer,23.0
Cantabria,2007,hombre,18.1
Cantabria,2007,mujer,23.5
Cantabria,2008,hombre,13.8
Cantabria,2008,mujer,17.6
