ccaa,pct_fpbasica_publico,pct_fpbasica_privado
Andalucia,0.7487005649717514,0.2512994350282486
Aragon,0.6913875598086124,0.30861244019138756
Asturias,0.6756756756756757,0.32432432432432434
Canarias,0.9381327334083239,0.06186726659167604
Cantabria,0.5929203539823009,0.40707964601769914
Castilla La Mancha,0.8821349147516679,0.1178650852483321
Castilla y Leon,0.6472125435540069,0.352787456445993
Cataluña,1.0,0.0
Ceuta,0.9166666666666666,0.08333333333333333
Comunidad Valenciana,0.8843848130174137,0.11561518698258635
Extremadura,0.9954268292682927,0.004573170731707317
Galicia,0.8103448275862069,0.1896551724137931
Islas Baleares,0.7974910394265233,0.2025089605734767
La Rioja,0.6421404682274248,0.35785953177257523
Madrid,0.705863607393244,0.2941363926067559
Melilla,1.0,0.0
Murcia,0.8209483368719037,0.17905166312809626
Navarra,0.5463917525773195,0.4536082474226804
Pais Vasco,0.31189948263118994,0.6881005173688101
