ccaa,year,sexo,tasa_bruta_eso
Murcia,2014,hombre,72.0
Murcia,2014,mujer,83.0
Murcia,2015,hombre,73.4
Murcia,2015,mujer,83.2
Murcia,2016,hombre,69.2
Murcia,2016,mujer,78.1
Murcia,2017,hombre,69.9
Murcia,2017,mujer,80.6
Murcia,2018,hombre,68.0
Murcia,2018,mujer,80.7
Murcia,2019,hombre,73.1
Murcia,2019,mujer,84.8
Murcia,2020,hombre,70.1
Murcia,2020,mujer,81.3
Murcia,2021,hombre,68.8
Murcia,2021,mujer,78.0
Murcia,2022,hombre,72.1
Murcia,2022,mujer,81.1
Navarra,1999,hombre,75.5
Navarra,1999,mujer,85.7
Navarra,2000,hombre,75.9
Navarra,2000,mujer,87.9
Navarra,2001,hombre,73.4
Navarra,2001,mujer,86.0
Navarra,2002,hombre,78.9
Navarra,2002,mujer,85.6
Navarra,2003,hombre,73.5
Navarra,2003,mujer,86.4
Navarra,2004,hombre,76.0
Navarra,2004,mujer,83.3
Navarra,2005,hombre,72.6
Navarra,2005,mujer,83.5
Navarra,2006,hombre,70.9
Navarra,2006,mujer,81.6
Navarra,2007,hombre,72.7
Navarra,2007,mujer,82.4
Navarra,2008,hombre,75.8
Navarra,2008,mujer,83.8
Navarra,2009,hombre,76.0
Navarra,2009,mujer,82.0
Navarra,2010,hombre,73.5
Navarra,2010,mujer,84.5
Navarra,2011,hombre,70.7
Navarra,2011,mujer,82.5
Navarra,2012,hombre,76.4
Navarra,2012,mujer,84.1
Navarra,2013,hombre,77.6
Navarra,2013,mujer,85.7
Navarra,2014,hombre,77.8
Navarra,2014,mujer,88.5
Navarra,2015,hombre,80.2
Navarra,2015,mujer,87.4
Navarra,2016,hombre,78.5
Navarra,2016,mujer,86.0
Navarra,2017,hombre,79.4
Navarra,2017,mujer,86.7
Navarra,2018,hombre,78.5
Navarra,2018,mujer,88.4
Navarra,2019,hombre,83.5
Navarra,2019,mujer,91.6
Navarra,2020,hombre,83.6
Navarra,2020,mujer,89.4
Navarra,2021,hombre,79.4
Navarra,2021,mujer,85.0
Navarra,2022,hombre,79.7
Navarra,2022,mujer,89.9
Pais Vasco,1999,hombre,77.9
Pais Vasco,1999,mujer,86.3
Pais Vasco,2000,hombre,77.1
Pais Vasco,2000,mujer,87.7
Pais Vasco,2001,hombre,76.6
Pais Vasco,2001,mujer,88.9
Pais Vasco,2002,hombre,77.9
Pais Vasco,2002,mujer,88.0
Pais Vasco,2003,hombre,81.6
Pais Vasco,2003,mujer,90.0
Pais Vasco,2004,hombre,78.7
Pais Vasco,2004,mujer,87.8
Pais Vasco,2005,hombre,78.1
Pais Vasco,2005,mujer,89.0
Pais Vasco,2006,hombre,77.9
Pais Vasco,2006,mujer,88.3
Pais Vasco,2007,hombre,80.4
Pais Vasco,2007,mujer,88.7
Pais Vasco,2008,hombre,82.1
Pais Vasco,2008,mujer,89.4
Pais Vasco,2009,hombre,81.7
Pais Vasco,2009,mujer,91.2
Pais Vasco,2010,hombre,83.5
Pais Vasco,2010,mujer,89.0
Pais Vasco,2011,hombre,83.0
Pais Vasco,2011,mujer,88.3
Pais Vasco,2012,hombre,81.7
Pais Vasco,2012,mujer,89.3
Pais Vasco,2013,hombre,80.9
Pais Vasco,2013,mujer,88.7
Pais Vasco,2014,hombre,82.0
Pais Vasco,2014,mujer,87.6
Pais Vasco,2015,hombre,82.6
Pais Vasco,2015,mujer,90.9
Pais Vasco,2016,hombre,82.3
Pais Vasco,2016,mujer,90.0
Pais Vasco,2017,hombre,81.5
Pais Vasco,2017,mujer,90.5
Pais Vasco,2018,hombre,82.4
Pais Vasco,2018,mujer,90.0
Pais Vasco,2019,hombre,86.8
Pais Vasco,2019,mujer,92.3
Pais Vasco,2020,hombre,87.3
Pais Vasco,2020,mujer,92.2
Pais Vasco,2021,hombre,83.5
Pais Vasco,2021,mujer,90.4
Pais Vasco,2022,hombre,83.6
Pais Vasco,2022,mujer,89.9
