ccaa,year,sexo,tasa_bruta_eso
Canarias,2012,hombre,69.8
Canarias,2012,mujer,78.4
Canarias,2013,hombre,70.1
Canarias,2013,mujer,80.8
Canarias,2014,hombre,72.2
Canarias,2014,mujer,82.8
Canarias,2015,hombre,74.5
Canarias,2015,mujer,85.3
Canarias,2016,hombre,68.0
Canarias,2016,mujer,79.0
Canarias,2017,hombre,73.2
Canarias,2017,mujer,84.5
Canarias,2018,hombre,75.5
Canarias,2018,mujer,85.0
Canarias,2019,hombre,81.8
Canarias,2019,mujer,90.2
Canarias,2020,hombre,81.4
Canarias,2020,mujer,89.0
Canarias,2021,hombre,77.8
Canarias,2021,mujer,85.6
Canarias,2022,hombre,78.4
Canarias,2022,mujer,86.0
Cantabria,1999,hombre,68.1
Cantabria,1999,mujer,84.8
Cantabria,2000,hombre,72.6
Cantabria,2000,mujer,89.6
Cantabria,2001,hombre,69.0
Cantabria,2001,mujer,85.2
Cantabria,2002,hombre,73.2
Cantabria,2002,mujer,85.8
Cantabria,2003,hombre,70.3
Cantabria,2003,mujer,83.2
Cantabria,2004,hombre,71.5
Cantabria,2004,mujer,86.3
Cantabria,2005,hombre,69.6
Cantabria,2005,mujer,85.3
Cantabria,2006,hombre,75.4
Cantabria,2006,mujer,86.1
Cantabria,2007,hombre,73.7
Cantabria,2007,mujer,83.0
Cantabria,2008,hombre,80.8
Cantabria,2008,mujer,87.5
Cantabria,2009,hombre,85.6
Cantabria,2009,mujer,92.3
Cantabria,2010,hombre,78.4
Cantabria,2010,mujer,87.5
Cantabria,2011,hombre,77.8
Cantabria,2011,mujer,87.5
Cantabria,2012,hombre,78.5
Cantabria,2012,mujer,87.7
Cantabria,2013,hombre,82.0
Cantabria,2013,mujer,86.3
Cantabria,2014,hombre,77.3
Cantabria,2014,mujer,86.6
Cantabria,2015,hombre,83.4
Cantabria,2015,mujer,89.2
Cantabria,2016,hombre,75.5
Cantabria,2016,mujer,82.7
Cantabria,2017,hombre,75.1
Cantabria,2017,mujer,88.6
Cantabria,2018,hombre,79.4
Cantabria,2018,mujer,88.3
Cantabria,2019,hombre,83.2
Cantabria,2019,mujer,91.4
Cantabria,2020,hombre,85.4
Cantabria,2020,mujer,89.4
Cantabria,2021,hombre,83.5
Cantabria,2021,mujer,88.8
Cantabria,2022,hombre,81.8
Cantabria,2022,mujer,87.5
Castilla La Mancha,1999,hombre,56.1
Castilla La Mancha,1999,mujer,75.1
Castilla La Mancha,2000,hombre,56.9
Castilla La Mancha,2000,mujer,77.0
Castilla La Mancha,2001,hombre,56.9
Castilla La Mancha,2001,mujer,73.4
Castilla La Mancha,2002,hombre,57.5
Castilla La Mancha,2002,mujer,76.4
Castilla La Mancha,2003,hombre,57.5
Castilla La Mancha,2003,mujer,77.0
Castilla La Mancha,2004,hombre,58.5
Castilla La Mancha,2004,mujer,76.5
Castilla La Mancha,2005,hombre,56.2
Castilla La Mancha,2005,mujer,74.4
Castilla La Mancha,2006,hombre,54.5
Castilla La Mancha,2006,mujer,73.9
Castilla La Mancha,2007,hombre,56.2
Castilla La Mancha,2007,mujer,72.5
Castilla La Mancha,2008,hombre,58.8
Castilla La Mancha,2008,mujer,75.0
Castilla La Mancha,2009,hombre,60.2
Castilla La Mancha,2009,mujer,75.7
Castilla La Mancha,2010,hombre,62.3
Castilla La Mancha,2010,mujer,75.1
Castilla La Mancha,2011,hombre,64.9
Castilla La Mancha,2011,mujer,78.0
Castilla La Mancha,2012,hombre,64.9
Castilla La Mancha,2012,mujer,77.8
Castilla La Mancha,2013,hombre,66.3
Castilla La Mancha,2013,mujer,79.6
Castilla La Mancha,2014,hombre,67.2
Castilla La Mancha,2014,mujer,78.7
Castilla La Mancha,2015,hombre,69.5
Castilla La Mancha,2015,mujer,81.7
Castilla La Mancha,2016,hombre,62.2
Castilla La Mancha,2016,mujer,75.7
Castilla La Mancha,2017,hombre,66.9
Castilla La Mancha,2017,mujer,79.2
Castilla La Mancha,2018,hombre,67.4
Castilla La Mancha,2018,mujer,79.0
Castilla La Mancha,2019,hombre,77.9
Castilla La Mancha,2019,mujer,88.1
Castilla La Mancha,2020,hombre,71.9
Castilla La Mancha,2020,mujer,82.4
Castilla La Mancha,2021,hombre,69.9
Castilla La Mancha,2021,mujer,79.3
Castilla La Mancha,2022,hombre,72.5
Castilla La Mancha,2022,mujer,81.4
Castilla y Leon,1999,hombre,68.6
Castilla y Leon,1999,mujer,85.7
Castilla y Leon,2000,hombre,70.1
Castilla y Leon,2000,mujer,85.2
Castilla y Leon,2001,hombre,70.9
Castilla y Leon,2001,mujer,85.7
Castilla y Leon,2002,hombre,69.3
Castilla y Leon,2002,mujer,84.4
Castilla y Leon,2003,hombre,72.8
Castilla y Leon,2003,mujer,88.0
Castilla y Leon,2004,hombre,69.6
Castilla y Leon,2004,mujer,86.2
Castilla y Leon,2005,hombre,70.7
Castilla y Leon,2005,mujer,82.8
Castilla y Leon,2006,hombre,68.1
Castilla y Leon,2006,mujer,82.2
Castilla y Leon,2007,hombre,68.5
Castilla y Leon,2007,mujer,80.2
Castilla y Leon,2008,hombre,71.5
Castilla y Leon,2008,mujer,83.5
Castilla y Leon,2009,hombre,72.4
Castilla y Leon,2009,mujer,84.5
Castilla y Leon,2010,hombre,73.2
Castilla y Leon,2010,mujer,81.8
Castilla y Leon,2011,hombre,73.1
Castilla y Leon,2011,mujer,84.5
Castilla y Leon,2012,hombre,73.6
Castilla y Leon,2012,mujer,83.5
Castilla y Leon,2013,hombre,77.7
Castilla y Leon,2013,mujer,87.1
Castilla y Leon,2014,hombre,75.5
Castilla y Leon,2014,mujer,85.7
Castilla y Leon,2015,hombre,77.9
Castilla y Leon,2015,mujer,89.0
Castilla y Leon,2016,hombre,74.3
Castilla y Leon,2016,mujer,82.9
Castilla y Leon,2017,hombre,76.1
Castilla y Leon,2017,mujer,83.6
Castilla y Leon,2018,hombre,77.6
Castilla y Leon,2018,mujer,85.6
Castilla y Leon,2019,hombre,82.9
Castilla y Leon,2019,mujer,91.1
Castilla y Leon,2020,hombre,80.6
Castilla y Leon,2020,mujer,86.4
Castilla y Leon,2021,hombre,79.3
Castilla y Leon,2021,mujer,85.1
Castilla y Leon,2022,hombre,77.2
Castilla y Leon,2022,mujer,84.1
Cataluña,1999,hombre,68.5
Cataluña,1999,mujer,82.7
Cataluña,2000,hombre,69.5
Cataluña,2000,mujer,81.7
Cataluña,2001,hombre,70.2
Cataluña,2001,mujer,82.6
Cataluña,2002,hombre,70.0
Cataluña,2002,mujer,81.1
Cataluña,2003,hombre,69.0
Cataluña,2003,mujer,79.5
Cataluña,2004,hombre,66.5
Cataluña,2004,mujer,77.5
Cataluña,2005,hombre,66.2
Cataluña,2005,mujer,77.3
Cataluña,2006,hombre,67.5
Cataluña,2006,mujer,78.5
Cataluña,2007,hombre,69.9
Cataluña,2007,mujer,80.1
Cataluña,2008,hombre,71.1
Cataluña,2008,mujer,81.4
Cataluña,2009,hombre,72.3
Cataluña,2009,mujer,81.5
Cataluña,2010,hombre,73.2
Cataluña,2010,mujer,82.9
Cataluña,2011,hombre,76.2
Cataluña,2011,mujer,86.1
Cataluña,2012,hombre,77.1
Cataluña,2012,mujer,84.3
Cataluña,2013,hombre,77.6
Cataluña,2013,mujer,86.6
Cataluña,2014,hombre,78.8
Cataluña,2014,mujer,87.4
Cataluña,2015,hombre,78.7
Cataluña,2015,mujer,87.3
Cataluña,2016,hombre,79.3
Cataluña,2016,mujer,87.7
Cataluña,2017,hombre,79.8
Cataluña,2017,mujer,88.1
Cataluña,2018,hombre,80.2
Cataluña,2018,mujer,88.1
Cataluña,2019,hombre,84.1
Cataluña,2019,mujer,89.7
Cataluña,2020,hombre,83.7
Cataluña,2020,mujer,89.6
Cataluña,2021,hombre,83.0
Cataluña,2021,mujer,87.8
Cataluña,2022,hombre,83.1
Cataluña,2022,mujer,88.9
Ceuta,1999,hombre,51.5
Ceuta,1999,mujer,53.5
Ceuta,2000,hombre,49.5
Ceuta,2000,mujer,56.6
Ceuta,2001,hombre,48.0
Ceuta,2001,mujer,59.8
Ceuta,2002,hombre,43.2
Ceuta,2002,mujer,54.1
Ceuta,2003,hombre,53.1
Ceuta,2003,mujer,54.6
Ceuta,2004,hombre,42.4
Ceuta,2004,mujer,58.1
Ceuta,2005,hombre,52.1
Ceuta,2005,mujer,47.2
Ceuta,2006,hombre,46.3
Ceuta,2006,mujer,54.2
Ceuta,2007,hombre,41.8
Ceuta,2007,mujer,55.7
Ceuta,2008,hombre,48.1
Ceuta,2008,mujer,58.8
Ceuta,2009,hombre,53.0
Ceuta,2009,mujer,64.9
Ceuta,2010,hombre,47.8
Ceuta,2010,mujer,58.0
Ceuta,2011,hombre,54.3
Ceuta,2011,mujer,51.3
Ceuta,2012,hombre,47.8
Ceuta,2012,mujer,56.1
Ceuta,2013,hombre,54.4
Ceuta,2013,mujer,71.5
Ceuta,2014,hombre,56.5
Ceuta,2014,mujer,65.4
Ceuta,2015,hombre,61.7
Ceuta,2015,mujer,74.6
Ceuta,2016,hombre,46.6
Ceuta,2016,mujer,66.1
Ceuta,2017,hombre,48.4
Ceuta,2017,mujer,61.3
Ceuta,2018,hombre,47.6
Ceuta,2018,mujer,58.7
Ceuta,2019,hombre,67.5
Ceuta,2019,mujer,75.1
Ceuta,2020,hombre,58.7
Ceuta,2020,mujer,70.2
Ceuta,2021,hombre,51.8
Ceuta,2021,mujer,70.3
Ceuta,2022,hombre,61.9
Ceuta,2022,mujer,65.0
Comunidad Valenciana,1999,hombre,65.7
Comunidad Valenciana,1999,mujer,84.3
Comunidad Valenciana,2000,hombre,59.3
Comunidad Valenciana,2000,mujer,79.8
Comunidad Valenciana,2001,hombre,58.3
Comunidad Valenciana,2001,mujer,77.5
Comunidad Valenciana,2002,hombre,59.1
Comunidad Valenciana,2002,mujer,78.1
Comunidad Valenciana,2003,hombre,58.2
Comunidad Valenciana,2003,mujer,75.7
Comunidad Valenciana,2004,hombre,55.9
Comunidad Valenciana,2004,mujer,72.0
Comunidad Valenciana,2005,hombre,51.8
Comunidad Valenciana,2005,mujer,68.8
Comunidad Valenciana,2006,hombre,54.2
Comunidad Valenciana,2006,mujer,69.2
Comunidad Valenciana,2007,hombre,52.7
Comunidad Valenciana,2007,mujer,67.5
Comunidad Valenciana,2008,hombre,55.7
Comunidad Valenciana,2008,mujer,70.4
Comunidad Valenciana,2009,hombre,58.6
Comunidad Valenciana,2009,mujer,72.6
Comunidad Valenciana,2010,hombre,58.9
Comunidad Valenciana,2010,mujer,73.5
Comunidad Valenciana,2011,hombre,56.2
Comunidad Valenciana,2011,mujer,70.3
Comunidad Valenciana,2012,hombre,56.4
Comunidad Valenciana,2012,mujer,70.2
Comunidad Valenciana,2013,hombre,60.9
Comunidad Valenciana,2013,mujer,74.3
Comunidad Valenciana,2014,hombre,64.3
Comunidad Valenciana,2014,mujer,74.6
Comunidad Valenciana,2015,hombre,66.4
Comunidad Valenciana,2015,mujer,79.3
Comunidad Valenciana,2016,hombre,60.6
Comunidad Valenciana,2016,mujer,73.3
Comunidad Valenciana,2017,hombre,67.4
Comunidad Valenciana,2017,mujer,80.7
Comunidad Valenciana,2018,hombre,69.7
Comunidad Valenciana,2018,mujer,82.0
Comunidad Valenciana,2019,hombre,77.8
Comunidad Valenciana,2019,mujer,87.6
Comunidad Valenciana,2020,hombre,75.6
Comunidad Valenciana,2020,mujer,86.1
Comunidad Valenciana,2021,hombre,73.9
Comunidad Valenciana,2021,mujer,83.1
Comunidad Valenciana,2022,hombre,73.2
Comunidad Valenciana,2022,mujer,82.8
Extremadura,1999,hombre,56.2
Extremadura,1999,mujer,75.3
