ccaa,year,sexo,tasanetaFP_Media
La Rioja,2016,hombre,22.8
La Rioja,2016,mujer,22.7
La Rioja,2017,hombre,23.5
La Rioja,2017,mujer,24.3
La Rioja,2018,hombre,26.8
La Rioja,2018,mujer,24.6
La Rioja,2019,hombre,31.5
La Rioja,2019,mujer,23.5
La Rioja,2020,hombre,32.2
La Rioja,2020,mujer,29.4
La Rioja,2021,hombre,28.8
La Rioja,2021,mujer,24.6
Madrid,2016,hombre,19.7
Madrid,2016,mujer,14.7
Madrid,2017,hombre,19.2
Madrid,2017,mujer,14.4
Madrid,2018,hombre,18.0
Madrid,2018,mujer,14.2
Madrid,2019,hombre,20.3
Madrid,2019,mujer,14.9
Madrid,2020,hombre,22.2
Madrid,2020,mujer,16.8
Madrid,2021,hombre,23.1
Madrid,2021,mujer,19.0
Melilla,2016,hombre,17.3
Melilla,2016,mujer,12.1
Melilla,2017,hombre,15.6
Melilla,2017,mujer,13.6
Melilla,2018,hombre,16.3
Melilla,2018,mujer,15.3
Melilla,2019,hombre,20.3
Melilla,2019,mujer,14.7
Melilla,2020,hombre,18.5
Melilla,2020,mujer,22.2
Melilla,2021,hombre,26.4
Melilla,2021,mujer,19.5
Murcia,2016,hombre,18.4
Murcia,2016,mujer,17.0
Murcia,2017,hombre,20.0
Murcia,2017,mujer,17.3
Murcia,2018,hombre,20.6
Murcia,2018,mujer,18.7
Murcia,2019,hombre,18.0
Murcia,2019,mujer,18.1
Murcia,2020,hombre,26.0
Murcia,2020,mujer,23.8
Murcia,2021,hombre,24.1
Murcia,2021,mujer,22.7
Navarra,2016,hombre,23.5
Navarra,2016,mujer,16.1
Navarra,2017,hombre,26.4
Navarra,2017,mujer,17.0
Navarra,2018,hombre,26.3
Navarra,2018,mujer,16.4
Navarra,2019,hombre,26.4
Navarra,2019,mujer,19.4
Navarra,2020,hombre,32.6
Navarra,2020,mujer,21.1
Navarra,2021,hombre,30.5
Navarra,2021,mujer,20.9
Pais Vasco,2016,hombre,30.6
Pais Vasco,2016,mujer,18.8
Pais Vasco,2017,hombre,30.6
Pais Vasco,2017,mujer,18.4
Pais Vasco,2018,hombre,30.1
Pais Vasco,2018,mujer,18.5
Pais Vasco,2019,hombre,29.4
Pais Vasco,2019,mujer,18.7
Pais Vasco,2020,hombre,32.7
Pais Vasco,2020,mujer,20.5
Pais Vasco,2021,hombre,31.3
Pais Vasco,2021,mujer,18.5
