ccaa,year,sexo,tasanetaFP_superior
La Rioja,2016,hombre,22.1
La Rioja,2016,mujer,23.4
La Rioja,2017,hombre,26.1
La Rioja,2017,mujer,25.3
La Rioja,2018,hombre,26.2
La Rioja,2018,mujer,26.2
La Rioja,2019,hombre,24.8
La Rioja,2019,mujer,24.0
La Rioja,2020,hombre,31.3
La Rioja,2020,mujer,32.9
La Rioja,2021,hombre,29.2
La Rioja,2021,mujer,28.6
Madrid,2016,hombre,22.0
Madrid,2016,mujer,21.2
Madrid,2017,hombre,28.0
Madrid,2017,mujer,26.3
Madrid,2018,hombre,26.7
Madrid,2018,mujer,25.6
Madrid,2019,hombre,21.4
Madrid,2019,mujer,20.9
Madrid,2020,hombre,32.5
Madrid,2020,mujer,31.1
Madrid,2021,hombre,33.2
Madrid,2021,mujer,31.0
Melilla,2016,hombre,16.3
Melilla,2016,mujer,25.7
Melilla,2017,hombre,16.3
Melilla,2017,mujer,21.4
Melilla,2018,hombre,20.6
Melilla,2018,mujer,25.3
Melilla,2019,hombre,15.2
Melilla,2019,mujer,29.8
Melilla,2020,hombre,19.5
Melilla,2020,mujer,31.6
Melilla,2021,hombre,17.3
Melilla,2021,mujer,24.7
Murcia,2016,hombre,19.9
Murcia,2016,mujer,21.0
Murcia,2017,hombre,22.3
Murcia,2017,mujer,24.2
Murcia,2018,hombre,23.3
Murcia,2018,mujer,27.6
Murcia,2019,hombre,20.9
Murcia,2019,mujer,25.2
Murcia,2020,hombre,28.7
Murcia,2020,mujer,37.3
Murcia,2021,hombre,27.2
Murcia,2021,mujer,32.3
Navarra,2016,hombre,22.1
Navarra,2016,mujer,19.4
Navarra,2017,hombre,24.9
Navarra,2017,mujer,19.7
Navarra,2018,hombre,25.1
Navarra,2018,mujer,19.7
Navarra,2019,hombre,25.5
Navarra,2019,mujer,22.6
Navarra,2020,hombre,30.0
Navarra,2020,mujer,23.5
Navarra,2021,hombre,27.1
Navarra,2021,mujer,23.5
Pais Vasco,2016,hombre,44.3
Pais Vasco,2016,mujer,31.3
Pais Vasco,2017,hombre,50.2
Pais Vasco,2017,mujer,32.7
Pais Vasco,2018,hombre,49.4
Pais Vasco,2018,mujer,31.7
Pais Vasco,2019,hombre,46.1
Pais Vasco,2019,mujer,30.3
Pais Vasco,2020,hombre,50.0
Pais Vasco,2020,mujer,34.4
Pais Vasco,2021,hombre,49.2
Pais Vasco,2021,mujer,33.2
