ccaa,year,sexo,tasa_bruta_bach
Asturias,2021,hombre,57.9
Asturias,2021,mujer,68.1
Asturias,2022,hombre,56.5
Asturias,2022,mujer,70.9
Canarias,1990,hombre,22.0
Canarias,1990,mujer,28.8
Canarias,1991,hombre,20.9
Canarias,1991,mujer,27.9
Canarias,1992,hombre,23.7
Canarias,1992,mujer,34.4
Canarias,1993,hombre,27.1
Canarias,1993,mujer,37.7
Canarias,1994,hombre,29.0
Canarias,1994,mujer,39.5
Canarias,1995,hombre,27.2
Canarias,1995,mujer,38.6
Canarias,1996,hombre,29.4
Canarias,1996,mujer,37.7
Canarias,1997,hombre,29.5
Canarias,1997,mujer,44.9
Canarias,1998,hombre,28.3
Canarias,1998,mujer,42.6
Canarias,1999,hombre,26.3
Canarias,1999,mujer,40.0
Canarias,2000,hombre,32.9
Canarias,2000,mujer,50.0
Canarias,2001,hombre,35.7
Canarias,2001,mujer,54.4
Canarias,2002,hombre,33.2
Canarias,2002,mujer,49.8
Canarias,2003,hombre,31.4
Canarias,2003,mujer,47.8
Canarias,2004,hombre,30.3
Canarias,2004,mujer,47.0
Canarias,2005,hombre,30.1
Canarias,2005,mujer,48.5
Canarias,2006,hombre,30.6
Canarias,2006,mujer,47.3
Canarias,2007,hombre,31.8
Canarias,2007,mujer,49.4
Canarias,2008,hombre,34.9
Canarias,2008,mujer,50.6
Canarias,2009,hombre,37.0
Canarias,2009,mujer,52.0
Canarias,2010,hombre,42.1
Canarias,2010,mujer,58.8
Canarias,2011,hombre,42.7
Canarias,2011,mujer,57.3
Canarias,2012,hombre,45.0
Canarias,2012,mujer,59.3
Canarias,2013,hombre,47.7
Canarias,2013,mujer,59.5
Canarias,2014,hombre,48.3
Canarias,2014,mujer,62.4
Canarias,2015,hombre,50.7
Canarias,2015,mujer,65.6
Canarias,2016,hombre,49.2
Canarias,2016,mujer,65.4
Canarias,2017,hombre,50.1
Canarias,2017,mujer,67.0
Canarias,2018,hombre,51.1
Canarias,2018,mujer,65.2
Canarias,2019,hombre,58.9
Canarias,2019,mujer,74.9
Canarias,2020,hombre,54.8
Canarias,2020,mujer,70.1
Canarias,2021,hombre,50.7
Canarias,2021,mujer,67.1
Canarias,2022,hombre,51.7
Canarias,2022,mujer,69.0
Cantabria,1990,hombre,24.8
Cantabria,1990,mujer,35.1
Cantabria,1991,hombre,26.2
Cantabria,1991,mujer,35.4
Cantabria,1992,hombre,26.0
Cantabria,1992,mujer,34.8
Cantabria,1993,hombre,30.6
Cantabria,1993,mujer,41.8
Cantabria,1994,hombre,33.0
Cantabria,1994,mujer,42.4
Cantabria,1995,hombre,35.2
Cantabria,1995,mujer,50.5
Cantabria,1996,hombre,34.7
Cantabria,1996,mujer,52.3
Cantabria,1997,hombre,39.6
Cantabria,1997,mujer,55.6
Cantabria,1998,hombre,37.6
Cantabria,1998,mujer,56.7
Cantabria,1999,hombre,34.8
Cantabria,1999,mujer,52.2
Cantabria,2000,hombre,42.7
Cantabria,2000,mujer,59.9
Cantabria,2001,hombre,39.7
Cantabria,2001,mujer,49.7
Cantabria,2002,hombre,41.2
Cantabria,2002,mujer,60.3
Cantabria,2003,hombre,39.7
Cantabria,2003,mujer,59.9
Cantabria,2004,hombre,39.3
Cantabria,2004,mujer,54.4
Cantabria,2005,hombre,40.3
Cantabria,2005,mujer,56.4
Cantabria,2006,hombre,40.8
Cantabria,2006,mujer,58.2
Cantabria,2007,hombre,40.0
Cantabria,2007,mujer,56.2
Cantabria,2008,hombre,36.9
Cantabria,2008,mujer,52.0
Cantabria,2009,hombre,42.4
Cantabria,2009,mujer,57.8
Cantabria,2010,hombre,46.5
Cantabria,2010,mujer,59.6
Cantabria,2011,hombre,50.7
Cantabria,2011,mujer,59.5
Cantabria,2012,hombre,49.8
Cantabria,2012,mujer,61.3
Cantabria,2013,hombre,50.5
Cantabria,2013,mujer,64.4
Cantabria,2014,hombre,52.9
Cantabria,2014,mujer,65.6
Cantabria,2015,hombre,56.8
Cantabria,2015,mujer,69.1
Cantabria,2016,hombre,51.3
Cantabria,2016,mujer,66.3
Cantabria,2017,hombre,54.0
Cantabria,2017,mujer,67.9
Cantabria,2018,hombre,51.1
Cantabria,2018,mujer,63.5
Cantabria,2019,hombre,55.0
Cantabria,2019,mujer,75.4
Cantabria,2020,hombre,52.0
Cantabria,2020,mujer,68.2
Cantabria,2021,hombre,51.6
Cantabria,2021,mujer,69.1
Cantabria,2022,hombre,54.5
Cantabria,2022,mujer,65.6
Castilla La Mancha,1990,hombre,21.2
Castilla La Mancha,1990,mujer,29.5
Castilla La Mancha,1991,hombre,22.7
Castilla La Mancha,1991,mujer,31.8
Castilla La Mancha,1992,hombre,24.5
Castilla La Mancha,1992,mujer,34.4
Castilla La Mancha,1993,hombre,26.0
Castilla La Mancha,1993,mujer,37.8
Castilla La Mancha,1994,hombre,28.2
Castilla La Mancha,1994,mujer,39.9
Castilla La Mancha,1995,hombre,27.6
Castilla La Mancha,1995,mujer,40.4
Castilla La Mancha,1996,hombre,30.1
Castilla La Mancha,1996,mujer,45.9
Castilla La Mancha,1997,hombre,31.1
Castilla La Mancha,1997,mujer,48.0
Castilla La Mancha,1998,hombre,32.1
Castilla La Mancha,1998,mujer,48.9
Castilla La Mancha,1999,hombre,33.0
Castilla La Mancha,1999,mujer,49.1
Castilla La Mancha,2000,hombre,32.0
Castilla La Mancha,2000,mujer,48.6
Castilla La Mancha,2001,hombre,31.9
Castilla La Mancha,2001,mujer,51.3
Castilla La Mancha,2002,hombre,32.7
Castilla La Mancha,2002,mujer,51.2
Castilla La Mancha,2003,hombre,31.2
Castilla La Mancha,2003,mujer,49.5
Castilla La Mancha,2004,hombre,34.9
Castilla La Mancha,2004,mujer,54.2
Castilla La Mancha,2005,hombre,32.0
Castilla La Mancha,2005,mujer,50.0
Castilla La Mancha,2006,hombre,32.6
Castilla La Mancha,2006,mujer,48.7
Castilla La Mancha,2007,hombre,30.2
Castilla La Mancha,2007,mujer,48.1
Castilla La Mancha,2008,hombre,32.8
Castilla La Mancha,2008,mujer,50.2
Castilla La Mancha,2009,hombre,34.0
Castilla La Mancha,2009,mujer,49.3
Castilla La Mancha,2010,hombre,36.8
Castilla La Mancha,2010,mujer,53.8
Castilla La Mancha,2011,hombre,39.6
Castilla La Mancha,2011,mujer,55.7
Castilla La Mancha,2012,hombre,41.3
Castilla La Mancha,2012,mujer,56.1
Castilla La Mancha,2013,hombre,43.5
Castilla La Mancha,2013,mujer,59.3
Castilla La Mancha,2014,hombre,44.3
Castilla La Mancha,2014,mujer,60.8
Castilla La Mancha,2015,hombre,45.9
Castilla La Mancha,2015,mujer,64.1
Castilla La Mancha,2016,hombre,46.4
Castilla La Mancha,2016,mujer,62.7
Castilla La Mancha,2017,hombre,45.9
Castilla La Mancha,2017,mujer,62.5
Castilla La Mancha,2018,hombre,45.6
Castilla La Mancha,2018,mujer,62.9
Castilla La Mancha,2019,hombre,51.8
Castilla La Mancha,2019,mujer,70.0
Castilla La Mancha,2020,hombre,43.3
Castilla La Mancha,2020,mujer,60.5
Castilla La Mancha,2021,hombre,47.9
Castilla La Mancha,2021,mujer,63.7
Castilla La Mancha,2022,hombre,46.8
Castilla La Mancha,2022,mujer,63.7
Castilla y Leon,1990,hombre,32.6
Castilla y Leon,1990,mujer,43.6
Castilla y Leon,1991,hombre,33.5
Castilla y Leon,1991,mujer,44.7
Castilla y Leon,1992,hombre,34.4
Castilla y Leon,1992,mujer,47.6
Castilla y Leon,1993,hombre,38.1
Castilla y Leon,1993,mujer,51.5
Castilla y Leon,1994,hombre,37.7
Castilla y Leon,1994,mujer,53.7
