ccaa,year,sexo,tasa_neta_eso
La Rioja,2016,hombre,61.9
La Rioja,2016,mujer,77.0
La Rioja,2017,hombre,69.3
La Rioja,2017,mujer,78.9
La Rioja,2018,hombre,69.2
La Rioja,2018,mujer,84.5
La Rioja,2019,hombre,75.4
La Rioja,2019,mujer,84.1
La Rioja,2020,hombre,73.9
La Rioja,2020,mujer,86.1
La Rioja,2021,hombre,74.8
La Rioja,2021,mujer,77.7
Madrid,2016,hombre,73.4
Madrid,2016,mujer,81.5
Madrid,2017,hombre,76.0
Madrid,2017,mujer,84.1
Madrid,2018,hombre,76.6
Madrid,2018,mujer,85.0
Madrid,2019,hombre,85.2
Madrid,2019,mujer,85.8
Madrid,2020,hombre,79.0
Madrid,2020,mujer,86.9
Madrid,2021,hombre,78.8
Madrid,2021,mujer,84.6
Melilla,2016,hombre,50.0
Melilla,2016,mujer,60.8
Melilla,2017,hombre,49.0
Melilla,2017,mujer,62.1
Melilla,2018,hombre,50.1
Melilla,2018,mujer,71.9
Melilla,2019,hombre,62.7
Melilla,2019,mujer,74.4
Melilla,2020,hombre,52.3
Melilla,2020,mujer,66.1
Melilla,2021,hombre,52.3
Melilla,2021,mujer,74.1
Murcia,2016,hombre,69.4
Murcia,2016,mujer,79.0
Murcia,2017,hombre,70.4
Murcia,2017,mujer,80.5
Murcia,2018,hombre,68.8
Murcia,2018,mujer,80.8
Murcia,2019,hombre,73.2
Murcia,2019,mujer,78.5
Murcia,2020,hombre,69.2
Murcia,2020,mujer,80.6
Murcia,2021,hombre,69.2
Murcia,2021,mujer,78.0
Navarra,2016,hombre,79.1
Navarra,2016,mujer,86.5
Navarra,2017,hombre,79.3
Navarra,2017,mujer,86.7
Navarra,2018,hombre,78.5
Navarra,2018,mujer,90.8
Navarra,2019,hombre,85.5
Navarra,2019,mujer,84.5
Navarra,2020,hombre,82.0
Navarra,2020,mujer,87.4
Navarra,2021,hombre,80.2
Navarra,2021,mujer,86.9
Pais Vasco,2016,hombre,82.5
Pais Vasco,2016,mujer,90.0
Pais Vasco,2017,hombre,81.3
Pais Vasco,2017,mujer,91.1
Pais Vasco,2018,hombre,83.1
Pais Vasco,2018,mujer,89.8
Pais Vasco,2019,hombre,87.1
Pais Vasco,2019,mujer,87.9
Pais Vasco,2020,hombre,86.8
Pais Vasco,2020,mujer,92.1
Pais Vasco,2021,hombre,83.1
Pais Vasco,2021,mujer,90.0
