ccaa,year,sexo,tasabrutaFP_superior
Melilla,2006,mujer,15.4
Melilla,2007,hombre,4.5
Melilla,2007,mujer,8.1
Melilla,2008,hombre,8.7
Melilla,2008,mujer,17.3
Melilla,2009,hombre,8.1
Melilla,2009,mujer,20.1
Melilla,2010,hombre,8.5
Melilla,2010,mujer,28.6
Melilla,2011,hombre,11.7
Melilla,2011,mujer,23.7
Melilla,2012,hombre,15.3
Melilla,2012,mujer,25.0
Melilla,2013,hombre,14.3
Melilla,2013,mujer,25.2
Melilla,2014,hombre,11.3
Melilla,2014,mujer,20.6
Melilla,2015,hombre,16.4
Melilla,2015,mujer,25.0
Melilla,2016,hombre,16.6
Melilla,2016,mujer,27.0
Melilla,2017,hombre,17.3
Melilla,2017,mujer,21.0
Melilla,2018,hombre,21.6
Melilla,2018,mujer,25.4
Melilla,2019,hombre,14.4
Melilla,2019,mujer,29.5
Melilla,2020,hombre,19.1
Melilla,2020,mujer,29.7
Melilla,2021,hombre,16.9
Melilla,2021,mujer,24.6
Melilla,2022,hombre,21.2
Melilla,2022,mujer,26.4
Murcia,1990,hombre,11.7
Murcia,1990,mujer,12.8
Murcia,1991,hombre,11.8
Murcia,1991,mujer,13.9
Murcia,1992,hombre,11.9
Murcia,1992,mujer,14.2
Murcia,1993,hombre,11.6
Murcia,1993,mujer,17.7
Murcia,1994,hombre,13.5
Murcia,1994,mujer,20.0
Murcia,1995,hombre,14.9
Murcia,1995,mujer,21.2
Murcia,1996,hombre,14.3
Murcia,1996,mujer,20.0
Murcia,1997,hombre,13.7
Murcia,1997,mujer,19.0
Murcia,1998,hombre,11.7
Murcia,1998,mujer,17.1
Murcia,1999,hombre,9.2
Murcia,1999,mujer,13.3
Murcia,2000,hombre,8.1
Murcia,2000,mujer,12.1
Murcia,2001,hombre,11.3
Murcia,2001,mujer,13.7
Murcia,2002,hombre,10.8
Murcia,2002,mujer,14.5
Murcia,2003,hombre,11.6
Murcia,2003,mujer,15.4
Murcia,2004,hombre,10.2
Murcia,2004,mujer,15.3
Murcia,2005,hombre,11.2
Murcia,2005,mujer,15.6
Murcia,2006,hombre,10.2
Murcia,2006,mujer,15.3
Murcia,2007,hombre,10.0
Murcia,2007,mujer,15.2
Murcia,2008,hombre,10.4
Murcia,2008,mujer,16.1
Murcia,2009,hombre,10.7
Murcia,2009,mujer,16.3
Murcia,2010,hombre,13.3
Murcia,2010,mujer,16.8
Murcia,2011,hombre,16.7
Murcia,2011,mujer,19.1
Murcia,2012,hombre,17.9
Murcia,2012,mujer,19.7
Murcia,2013,hombre,21.2
Murcia,2013,mujer,24.4
Murcia,2014,hombre,21.7
Murcia,2014,mujer,24.6
Murcia,2015,hombre,23.8
Murcia,2015,mujer,25.3
Murcia,2016,hombre,21.4
Murcia,2016,mujer,22.7
Murcia,2017,hombre,23.7
Murcia,2017,mujer,26.1
Murcia,2018,hombre,24.4
Murcia,2018,mujer,29.7
Murcia,2019,hombre,21.2
Murcia,2019,mujer,26.5
Murcia,2020,hombre,29.4
Murcia,2020,mujer,38.1
Murcia,2021,hombre,27.8
Murcia,2021,mujer,33.9
Murcia,2022,hombre,28.7
Murcia,2022,mujer,36.2
Navarra,1990,hombre,16.0
Navarra,1990,mujer,12.9
Navarra,1991,hombre,13.8
Navarra,1991,mujer,16.2
Navarra,1992,hombre,17.2
Navarra,1992,mujer,19.5
Navarra,1993,hombre,18.2
Navarra,1993,mujer,20.3
Navarra,1994,hombre,17.2
Navarra,1994,mujer,18.2
Navarra,1995,hombre,17.9
Navarra,1995,mujer,19.8
Navarra,1996,hombre,21.0
Navarra,1996,mujer,23.6
Navarra,1997,hombre,17.5
Navarra,1997,mujer,23.2
Navarra,1998,hombre,23.3
Navarra,1998,mujer,26.3
Navarra,1999,hombre,29.0
Navarra,1999,mujer,26.7
Navarra,2000,hombre,20.6
Navarra,2000,mujer,19.6
Navarra,2001,hombre,15.3
Navarra,2001,mujer,18.2
Navarra,2002,hombre,18.0
Navarra,2002,mujer,25.0
Navarra,2003,hombre,20.9
Navarra,2003,mujer,24.8
Navarra,2004,hombre,23.2
Navarra,2004,mujer,23.6
Navarra,2005,hombre,21.7
Navarra,2005,mujer,21.8
Navarra,2006,hombre,19.5
Navarra,2006,mujer,22.4
Navarra,2007,hombre,18.0
Navarra,2007,mujer,20.3
Navarra,2008,hombre,19.4
Navarra,2008,mujer,20.0
Navarra,2009,hombre,18.3
Navarra,2009,mujer,18.6
Navarra,2010,hombre,19.5
Navarra,2010,mujer,27.5
Navarra,2011,hombre,23.8
Navarra,2011,mujer,23.7
Navarra,2012,hombre,25.8
Navarra,2012,mujer,24.0
Navarra,2013,hombre,29.9
Navarra,2013,mujer,25.5
Navarra,2014,hombre,27.0
Navarra,2014,mujer,20.5
Navarra,2015,hombre,25.3
Navarra,2015,mujer,20.3
Navarra,2016,hombre,22.1
Navarra,2016,mujer,19.8
Navarra,2017,hombre,24.7
Navarra,2017,mujer,20.6
Navarra,2018,hombre,24.9
Navarra,2018,mujer,20.1
Navarra,2019,hombre,25.4
Navarra,2019,mujer,23.0
Navarra,2020,hombre,29.8
Navarra,2020,mujer,23.8
Navarra,2021,hombre,27.4
Navarra,2021,mujer,24.1
Navarra,2022,hombre,27.4
Navarra,2022,mujer,22.6
Pais Vasco,1990,hombre,20.0
Pais Vasco,1990,mujer,16.4
Pais Vasco,1991,hombre,22.2
Pais Vasco,1991,mujer,19.4
Pais Vasco,1992,hombre,22.8
Pais Vasco,1992,mujer,19.8
Pais Vasco,1993,hombre,25.2
Pais Vasco,1993,mujer,22.6
Pais Vasco,1994,hombre,26.4
Pais Vasco,1994,mujer,23.0
Pais Vasco,1995,hombre,29.3
Pais Vasco,1995,mujer,24.1
Pais Vasco,1996,hombre,28.9
Pais Vasco,1996,mujer,25.2
Pais Vasco,1997,hombre,24.8
Pais Vasco,1997,mujer,22.0
Pais Vasco,1998,hombre,35.7
Pais Vasco,1998,mujer,27.2
Pais Vasco,1999,hombre,27.3
Pais Vasco,1999,mujer,23.0
Pais Vasco,2000,hombre,32.6
Pais Vasco,2000,mujer,27.8
Pais Vasco,2001,hombre,31.7
Pais Vasco,2001,mujer,26.1
Pais Vasco,2002,hombre,33.7
Pais Vasco,2002,mujer,29.8
Pais Vasco,2003,hombre,34.0
Pais Vasco,2003,mujer,30.7
Pais Vasco,2004,hombre,34.9
Pais Vasco,2004,mujer,30.8
Pais Vasco,2005,hombre,33.3
Pais Vasco,2005,mujer,31.3
Pais Vasco,2006,hombre,34.7
Pais Vasco,2006,mujer,29.8
Pais Vasco,2007,hombre,31.0
Pais Vasco,2007,mujer,29.1
Pais Vasco,2008,hombre,33.5
Pais Vasco,2008,mujer,30.5
Pais Vasco,2009,hombre,35.9
Pais Vasco,2009,mujer,33.0
Pais Vasco,2010,hombre,42.8
Pais Vasco,2010,mujer,35.9
Pais Vasco,2011,hombre,42.4
Pais Vasco,2011,mujer,37.2
Pais Vasco,2012,hombre,43.2
Pais Vasco,2012,mujer,36.4
Pais Vasco,2013,hombre,50.1
Pais Vasco,2013,mujer,37.1
Pais Vasco,2014,hombre,50.4
Pais Vasco,2014,mujer,39.9
Pais Vasco,2015,hombre,46.3
Pais Vasco,2015,mujer,34.9
Pais Vasco,2016,hombre,46.2
Pais Vasco,2016,mujer,34.1
Pais Vasco,2017,hombre,53.3
Pais Vasco,2017,mujer,35.7
Pais Vasco,2018,hombre,50.7
Pais Vasco,2018,mujer,32.9
Pais Vasco,2019,hombre,46.1
Pais Vasco,2019,mujer,31.9
Pais Vasco,2020,hombre,50.2
Pais Vasco,2020,mujer,36.3
Pais Vasco,2021,hombre,49.7
Pais Vasco,2021,mujer,34.1
Pais Vasco,2022,hombre,46.9
Pais Vasco,2022,mujer,31.0
