ccaa,sexo,nivel_formacion,year,pct_poblacion_nivel_formacion
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2020,8.225000000000001
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2020,12.275
Andalucia,hombre,Analfabetos,2021,1.925
Andalucia,hombre,Educación primaria,2021,10.9
Andalucia,hombre,Educación superior,2021,26.1
Andalucia,hombre,Estudios primarios incompletos,2021,6.025
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2021,33.975
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2021,8.5
Andalucia,hombre,"Segunda etapa de educación secundaria, con orientación general",2021,12.6
Andalucia,mujer,Analfabetos,2021,2.95
Andalucia,mujer,Educación primaria,2021,11.45
Andalucia,mujer,Educación superior,2021,28.7
Andalucia,mujer,Estudios primarios incompletos,2021,7.775
Andalucia,mujer,Primera etapa de Educación Secundaria y similar,2021,28.7
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2021,9.05
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2021,11.4
Andalucia,hombre,Analfabetos,2022,1.65
Andalucia,hombre,Educación primaria,2022,10.725
Andalucia,hombre,Educación superior,2022,26.325
Andalucia,hombre,Estudios primarios incompletos,2022,5.825
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2022,33.725
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2022,8.35
Andalucia,hombre,"Segunda etapa de educación secundaria, con orientación general",2022,13.325
Andalucia,mujer,Analfabetos,2022,3.05
Andalucia,mujer,Educación primaria,2022,10.85
Andalucia,mujer,Educación superior,2022,29.65
Andalucia,mujer,Estudios primarios incompletos,2022,7.225
Andalucia,mujer,Primera etapa de Educación Secundaria y similar,2022,28.224999999999998
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2022,8.85
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2022,12.15
Andalucia,hombre,Analfabetos,2023,1.375
Andalucia,hombre,Educación primaria,2023,10.7
Andalucia,hombre,Educación superior,2023,27.3
Andalucia,hombre,Estudios primarios incompletos,2023,5.6
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2023,33.15
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2023,8.45
Andalucia,hombre,"Segunda etapa de educación secundaria, con orientación general",2023,13.425
Andalucia,mujer,Analfabetos,2023,2.825
Andalucia,mujer,Educación primaria,2023,10.425
Andalucia,mujer,Educación superior,2023,30.275
Andalucia,mujer,Estudios primarios incompletos,2023,7.45
Andalucia,mujer,Primera etapa de Educación Secundaria y similar,2023,27.925
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2023,8.375
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2023,12.7
Andalucia,hombre,Analfabetos,2024,1.2
Andalucia,hombre,Educación primaria,2024,10.4
Andalucia,hombre,Educación superior,2024,26.975
Andalucia,hombre,Estudios primarios incompletos,2024,5.225
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2024,33.65
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2024,9.025
Andalucia,hombre,"Segunda etapa de educación secundaria, con orientación general",2024,13.5
Andalucia,mujer,Analfabetos,2024,2.65
Andalucia,mujer,Educación primaria,2024,10.325
Andalucia,mujer,Educación superior,2024,30.375
Andalucia,mujer,Estudios primarios incompletos,2024,7.275
Andalucia,mujer,Primera etapa de Educación Secundaria y similar,2024,28.225
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2024,8.475
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2024,12.675
Andalucia,hombre,Analfabetos,2025,1.25
Andalucia,hombre,Educación primaria,2025,10.15
Andalucia,hombre,Educación superior,2025,27.825
Andalucia,hombre,Estudios primarios incompletos,2025,4.949999999999999
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2025,33.475
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2025,8.55
