Comunidad autónoma	Sexo	periodo	Total
Canarias	MUJERES	2020-21	2,8
Canarias	MUJERES	2019-20	2,7
Canarias	MUJERES	2018-19	2,5
Canarias	MUJERES	2017-18	2,9
Canarias	MUJERES	2016-17	2,1
Cantabria	HOMBRES	2021-22	5,5
Cantabria	HOMBRES	2020-21	7,2
Cantabria	HOMBRES	2019-20	7,3
Cantabria	HOMBRES	2018-19	5,5
Cantabria	HOMBRES	2017-18	6,0
Cantabria	HOMBRES	2016-17	6,2
Cantabria	MUJERES	2021-22	2,4
Cantabria	MUJERES	2020-21	2,6
Cantabria	MUJERES	2019-20	3,1
Cantabria	MUJERES	2018-19	3,4
Cantabria	MUJERES	2017-18	2,8
Cantabria	MUJERES	2016-17	2,5
Castilla y León	HOMBRES	2021-22	6,9
Castilla y León	HOMBRES	2020-21	8,4
Castilla y León	HOMBRES	2019-20	7,2
Castilla y León	HOMBRES	2018-19	7,1
Castilla y León	HOMBRES	2017-18	7,0
Castilla y León	HOMBRES	2016-17	5,6
Castilla y León	MUJERES	2021-22	3,0
Castilla y León	MUJERES	2020-21	4,0
Castilla y León	MUJERES	2019-20	3,3
Castilla y León	MUJERES	2018-19	3,5
Castilla y León	MUJERES	2017-18	2,9
Castilla y León	MUJERES	2016-17	3,0
Castilla-La Mancha	HOMBRES	2021-22	8,3
Castilla-La Mancha	HOMBRES	2020-21	9,6
Castilla-La Mancha	HOMBRES	2019-20	8,7
Castilla-La Mancha	HOMBRES	2018-19	7,8
Castilla-La Mancha	HOMBRES	2017-18	8,2
Castilla-La Mancha	HOMBRES	2016-17	7,6
Castilla-La Mancha	MUJERES	2021-22	3,8
Castilla-La Mancha	MUJERES	2020-21	4,4
Castilla-La Mancha	MUJERES	2019-20	4,1
Castilla-La Mancha	MUJERES	2018-19	3,6
Castilla-La Mancha	MUJERES	2017-18	3,7
Castilla-La Mancha	MUJERES	2016-17	3,3
Cataluña	HOMBRES	2021-22	0,0
Cataluña	HOMBRES	2020-21	0,0
Cataluña	HOMBRES	2019-20	0,0
Cataluña	HOMBRES	2018-19	0,0
Cataluña	HOMBRES	2017-18	0,0
Cataluña	HOMBRES	2016-17	0,0
Cataluña	MUJERES	2021-22	0,0
Cataluña	MUJERES	2020-21	0,0
Cataluña	MUJERES	2019-20	0,0
Cataluña	MUJERES	2018-19	0,0
Cataluña	MUJERES	2017-18	0,0
Cataluña	MUJERES	2016-17	0,0
Comunitat Valenciana	HOMBRES	2021-22	8,1
Comunitat Valenciana	HOMBRES	2020-21	9,2
Comunitat Valenciana	HOMBRES	2019-20	9,5
Comunitat Valenciana	HOMBRES	2018-19	9,0
Comunitat Valenciana	HOMBRES	2017-18	8,5
Comunitat Valenciana	HOMBRES	2016-17	8,2
Comunitat Valenciana	MUJERES	2021-22	3,8
Comunitat Valenciana	MUJERES	2020-21	4,5
Comunitat Valenciana	MUJERES	2019-20	4,4
Comunitat Valenciana	MUJERES	2018-19	4,1
Comunitat Valenciana	MUJERES	2017-18	4,1
Comunitat Valenciana	MUJERES	2016-17	4,1
Extremadura	HOMBRES	2021-22	8,1
Extremadura	HOMBRES	2020-21	8,6
Extremadura	HOMBRES	2019-20	9,3
Extremadura	HOMBRES	2018-19	8,1
Extremadura	HOMBRES	2017-18	8,1
Extremadura	HOMBRES	2016-17	8,2
Extremadura	MUJERES	2021-22	3,2
Extremadura	MUJERES	2020-21	4,0
Extremadura	MUJERES	2019-20	4,0
Extremadura	MUJERES	2018-19	3,5
Extremadura	MUJERES	2017-18	3,2
Extremadura	MUJERES	2016-17	3,2
Galicia	HOMBRES	2021-22	8,5
Galicia	HOMBRES	2020-21	10,8
Galicia	HOMBRES	2019-20	10,4
Galicia	HOMBRES	2018-19	8,4
Galicia	HOMBRES	2017-18	8,2
Galicia	HOMBRES	2016-17	8,5
Galicia	MUJERES	2021-22	3,9
Galicia	MUJERES	2020-21	5,1
Galicia	MUJERES	2019-20	4,3
Galicia	MUJERES	2018-19	3,9
Galicia	MUJERES	2017-18	3,5
Galicia	MUJERES	2016-17	3,4
Madrid, Comunidad de	HOMBRES	2021-22	4,5
Madrid, Comunidad de	HOMBRES	2020-21	4,4
Madrid, Comunidad de	HOMBRES	2019-20	4,8
Madrid, Comunidad de	HOMBRES	2018-19	3,9
Madrid, Comunidad de	HOMBRES	2017-18	4,4
Madrid, Comunidad de	HOMBRES	2016-17	3,9
Madrid, Comunidad de	MUJERES	2021-22	2,6
Madrid, Comunidad de	MUJERES	2020-21	2,7
Madrid, Comunidad de	MUJERES	2019-20	2,7
Madrid, Comunidad de	MUJERES	2018-19	2,1
Madrid, Comunidad de	MUJERES	2017-18	2,5
Madrid, Comunidad de	MUJERES	2016-17	2,2
Murcia, Región de	HOMBRES	2021-22	8,9
Murcia, Región de	HOMBRES	2020-21	10,0
Murcia, Región de	HOMBRES	2019-20	8,3
Murcia, Región de	HOMBRES	2018-19	8,2
Murcia, Región de	HOMBRES	2017-18	7,4
Murcia, Región de	HOMBRES	2016-17	5,8
