Comunidades y Ciudades Autónomas	Renta anual neta media por persona y por unidad de consumo	Periodo	Total
17 Rioja, La	Renta neta media por persona	2020	13.504
17 Rioja, La	Renta neta media por persona	2019	12.697
18 Ceuta	Renta neta media por persona	2025	13.770
18 Ceuta	Renta neta media por persona	2024	13.403
18 Ceuta	Renta neta media por persona	2023	13.421
18 Ceuta	Renta neta media por persona	2022	12.152
18 Ceuta	Renta neta media por persona	2021	10.397
18 Ceuta	Renta neta media por persona	2020	9.853
18 Ceuta	Renta neta media por persona	2019	10.164
19 Melilla	Renta neta media por persona	2025	12.696
19 Melilla	Renta neta media por persona	2024	12.745
19 Melilla	Renta neta media por persona	2023	13.854
19 Melilla	Renta neta media por persona	2022	13.089
19 Melilla	Renta neta media por persona	2021	12.012
19 Melilla	Renta neta media por persona	2020	11.427
19 Melilla	Renta neta media por persona	2019	11.733
