Comunidad autónoma	Sexo	periodo	Total
Extremadura	HOMBRES	2021-22	77,4
Extremadura	HOMBRES	2020-21	78,1
Extremadura	HOMBRES	2019-20	81,9
Extremadura	HOMBRES	2018-19	75,9
Extremadura	HOMBRES	2017-18	72,2
Extremadura	HOMBRES	2016-17	68,4
Extremadura	MUJERES	2021-22	86,9
Extremadura	MUJERES	2020-21	87,3
Extremadura	MUJERES	2019-20	89,3
Extremadura	MUJERES	2018-19	88,3
Extremadura	MUJERES	2017-18	83,7
Extremadura	MUJERES	2016-17	82,3
Galicia	HOMBRES	2021-22	81,3
Galicia	HOMBRES	2020-21	81,4
Galicia	HOMBRES	2019-20	84,6
Galicia	HOMBRES	2018-19	75,9
Galicia	HOMBRES	2017-18	75,6
Galicia	HOMBRES	2016-17	71,4
Galicia	MUJERES	2021-22	86,3
Galicia	MUJERES	2020-21	91,5
Galicia	MUJERES	2019-20	87,1
Galicia	MUJERES	2018-19	87,4
Galicia	MUJERES	2017-18	84,5
Galicia	MUJERES	2016-17	83,4
Madrid, Comunidad de	HOMBRES	2021-22	78,8
Madrid, Comunidad de	HOMBRES	2020-21	79,0
Madrid, Comunidad de	HOMBRES	2019-20	85,2
Madrid, Comunidad de	HOMBRES	2018-19	76,6
Madrid, Comunidad de	HOMBRES	2017-18	76,0
Madrid, Comunidad de	HOMBRES	2016-17	73,4
Madrid, Comunidad de	MUJERES	2021-22	84,6
Madrid, Comunidad de	MUJERES	2020-21	86,9
Madrid, Comunidad de	MUJERES	2019-20	85,8
Madrid, Comunidad de	MUJERES	2018-19	85,0
Madrid, Comunidad de	MUJERES	2017-18	84,1
Madrid, Comunidad de	MUJERES	2016-17	81,5
Murcia, Región de	HOMBRES	2021-22	69,2
Murcia, Región de	HOMBRES	2020-21	69,2
Murcia, Región de	HOMBRES	2019-20	73,2
Murcia, Región de	HOMBRES	2018-19	68,8
Murcia, Región de	HOMBRES	2017-18	70,4
Murcia, Región de	HOMBRES	2016-17	69,4
Murcia, Región de	MUJERES	2021-22	78,0
Murcia, Región de	MUJERES	2020-21	80,6
Murcia, Región de	MUJERES	2019-20	78,5
Murcia, Región de	MUJERES	2018-19	80,8
Murcia, Región de	MUJERES	2017-18	80,5
Murcia, Región de	MUJERES	2016-17	79,0
