Comunidad Autónoma;2000;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022;;;;2023 (P);;;;2024 (A);;
;Valor;Índice España = 100;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual
COMUNITAT VALENCIANA;15.243;95,5%;16.521;96,1%;8,4%;;17.246;95,3%;4,4%;;17.855;93,9%;3,5%;;18.637;92,9%;4,4%;;19.528;91,9%;4,8%;;20.709;91,4%;6,0%;;21.537;90,4%;4,0%;;21.766;90,0%;1,1%;;20.462;88,4%;-6,0%;;20.419;88,3%;-0,2%;;20.069;87,8%;-1,7%;;19.171;86,5%;-4,5%;;19.137;86,9%;-0,2%;;19.641;87,8%;2,6%;;20.500;87,5%;4,4%;;21.110;87,3%;3,0%;;21.996;87,4%;4,2%;;22.723;87,6%;3,3%;;23.248;87,3%;2,3%;;20.980;88,0%;-9,8%;;22.944;87,9%;9,4%;;24.715;85,8%;7,7%;;26.512;85,6%;7,3%;;27.626;84,7%;4,2%
EXTREMADURA;10.490;65,7%;11.250;65,4%;7,2%;;12.000;66,3%;6,7%;;12.777;67,2%;6,5%;;13.608;67,8%;6,5%;;14.717;69,2%;8,1%;;15.611;68,9%;6,1%;;16.704;70,1%;7,0%;;17.263;71,4%;3,3%;;16.744;72,4%;-3,0%;;16.950;73,3%;1,2%;;16.560;72,4%;-2,3%;;15.953;72,0%;-3,7%;;16.028;72,8%;0,5%;;16.053;71,7%;0,2%;;16.993;72,5%;5,9%;;17.616;72,8%;3,7%;;18.761;74,6%;6,5%;;19.368;74,6%;3,2%;;19.863;74,6%;2,6%;;18.351;76,9%;-7,6%;;20.363;78,0%;11,0%;;22.250;77,3%;9,3%;;23.891;77,1%;7,4%;;25.224;77,3%;5,6%
GALICIA;12.390;77,6%;13.364;77,7%;7,9%;;14.240;78,7%;6,6%;;15.196;79,9%;6,7%;;16.304;81,2%;7,3%;;17.605;82,8%;8,0%;;19.010;83,9%;8,0%;;20.387;85,6%;7,2%;;21.107;87,2%;3,5%;;20.314;87,8%;-3,8%;;20.488;88,6%;0,9%;;20.139;88,1%;-1,7%;;19.541;88,2%;-3,0%;;19.636;89,2%;0,5%;;19.876;88,8%;1,2%;;20.934;89,3%;5,3%;;21.594;89,3%;3,2%;;22.433;89,2%;3,9%;;23.212;89,4%;3,5%;;23.901;89,8%;3,0%;;21.864;91,7%;-8,5%;;23.927;91,7%;9,4%;;26.570;92,3%;11,0%;;28.661;92,5%;7,9%;;30.191;92,5%;5,3%
MADRID, COMUNIDAD DE;21.177;132,6%;22.875;133,0%;8,0%;;23.904;132,1%;4,5%;;24.973;131,3%;4,5%;;26.394;131,5%;5,7%;;28.020;131,8%;6,2%;;30.136;133,0%;7,6%;;31.555;132,5%;4,7%;;32.125;132,8%;1,8%;;31.364;135,5%;-2,4%;;31.059;134,3%;-1,0%;;31.147;136,2%;0,3%;;30.566;137,9%;-1,9%;;30.264;137,4%;-1,0%;;30.776;137,5%;1,7%;;32.275;137,7%;4,9%;;33.350;137,9%;3,3%;;34.592;137,5%;3,7%;;35.601;137,2%;2,9%;;36.613;137,5%;2,8%;;32.853;137,7%;-10,3%;;35.703;136,8%;8,7%;;39.246;136,3%;9,9%;;42.639;137,7%;8,6%;;44.749;137,1%;4,9%
MURCIA, REGIÓN DE;13.679;85,7%;14.704;85,5%;7,5%;;15.531;85,8%;5,6%;;16.376;86,1%;5,4%;;17.152;85,5%;4,7%;;18.178;85,5%;6,0%;;19.274;85,1%;6,0%;;20.228;84,9%;4,9%;;20.636;85,3%;2,0%;;19.383;83,8%;-6,1%;;19.479;84,2%;0,5%;;18.957;82,9%;-2,7%;;18.444;83,2%;-2,7%;;18.502;84,0%;0,3%;;18.606;83,2%;0,6%;;19.901;84,9%;7,0%;;20.402;84,3%;2,5%;;21.128;84,0%;3,6%;;21.393;82,4%;1,3%;;22.015;82,7%;2,9%;;20.108;84,3%;-8,7%;;22.087;84,6%;9,8%;;24.263;84,3%;9,9%;;25.536;82,4%;5,2%;;26.944;82,6%;5,5%
NAVARRA, COMUNIDAD FORAL DE;20.562;128,8%;21.747;126,5%;5,8%;;22.841;126,2%;5,0%;;23.848;125,4%;4,4%;;25.096;125,1%;5,2%;;26.586;125,1%;5,9%;;28.111;124,1%;5,7%;;29.307;123,0%;4,3%;;29.937;123,7%;2,1%;;28.569;123,5%;-4,6%;;28.487;123,1%;-0,3%;;28.279;123,7%;-0,7%;;27.184;122,7%;-3,9%;;27.213;123,6%;0,1%;;27.704;123,8%;1,8%;;28.761;122,7%;3,8%;;29.556;122,2%;2,8%;;30.631;121,8%;3,6%;;31.190;120,2%;1,8%;;32.136;120,7%;3,0%;;28.987;121,5%;-9,8%;;31.486;120,7%;8,6%;;34.720;120,6%;10,3%;;36.987;119,4%;6,5%;;39.096;119,8%;5,7%
PAÍS VASCO;19.553;122,5%;20.895;121,5%;6,9%;;21.985;121,5%;5,2%;;23.079;121,3%;5,0%;;24.431;121,7%;5,9%;;26.103;122,8%;6,8%;;28.055;123,8%;7,5%;;29.700;124,7%;5,9%;;30.636;126,6%;3,2%;;29.215;126,2%;-4,6%;;29.538;127,7%;1,1%;;29.261;128,0%;-0,9%;;28.589;129,0%;-2,3%;;28.277;128,4%;-1,1%;;28.843;128,9%;2,0%;;29.962;127,8%;3,9%;;30.833;127,5%;2,9%;;31.891;126,8%;3,4%;;32.835;126,5%;3,0%;;33.590;126,2%;2,3%;;30.115;126,3%;-10,3%;;32.898;126,1%;9,2%;;36.280;126,0%;10,3%;;39.041;126,0%;7,6%;;41.010;125,7%;5,0%
RIOJA, LA;17.965;112,5%;19.093;111,0%;6,3%;;19.791;109,3%;3,7%;;20.933;110,0%;5,8%;;21.689;108,1%;3,6%;;22.851;107,5%;5,4%;;24.361;107,5%;6,6%;;25.488;107,0%;4,6%;;25.954;107,3%;1,8%;;24.741;106,9%;-4,7%;;25.035;108,2%;1,2%;;24.748;108,2%;-1,1%;;23.961;108,1%;-3,2%;;23.898;108,5%;-0,3%;;24.586;109,9%;2,9%;;25.594;109,2%;4,1%;;25.713;106,3%;0,5%;;26.585;105,7%;3,4%;;27.470;105,9%;3,3%;;28.040;105,3%;2,1%;;25.654;107,6%;-8,5%;;27.365;104,9%;6,7%;;30.433;105,7%;11,2%;;32.412;104,6%;6,5%;;34.125;104,6%;5,3%
CEUTA;13.367;83,7%;13.813;80,3%;3,3%;;14.680;81,1%;6,3%;;15.593;82,0%;6,2%;;16.358;81,5%;4,9%;;17.135;80,6%;4,7%;;18.107;79,9%;5,7%;;19.051;80,0%;5,2%;;19.584;81,0%;2,8%;;19.077;82,4%;-2,6%;;18.532;80,1%;-2,9%;;17.986;78,7%;-2,9%;;17.094;77,1%;-5,0%;;17.229;78,2%;0,8%;;17.123;76,5%;-0,6%;;17.757;75,8%;3,7%;;18.155;75,1%;2,2%;;18.262;72,6%;0,6%;;18.923;72,9%;3,6%;;19.577;73,5%;3,5%;;18.184;76,2%;-7,1%;;19.661;75,3%;8,1%;;21.273;73,9%;8,2%;;22.413;72,4%;5,4%;;23.070;70,7%;2,9%
MELILLA;13.350;83,6%;13.708;79,7%;2,7%;;14.478;80,0%;5,6%;;15.570;81,8%;7,5%;;16.650;83,0%;6,9%;;17.256;81,2%;3,6%;;18.066;79,7%;4,7%;;18.495;77,6%;2,4%;;18.800;77,7%;1,6%;;18.284;79,0%;-2,7%;;17.661;76,3%;-3,4%;;17.144;75,0%;-2,9%;;16.035;72,4%;-6,5%;;15.981;72,6%;-0,3%;;15.999;71,5%;0,1%;;16.506;70,4%;3,2%;;16.979;70,2%;2,9%;;17.051;67,8%;0,4%;;17.531;67,6%;2,8%;;18.073;67,9%;3,1%;;16.776;70,3%;-7,2%;;17.891;68,6%;6,6%;;19.433;67,5%;8,6%;;20.454;66,0%;5,3%;;21.118;64,7%;3,2%
