Comunidades y Ciudades Autónomas	Sexo	Nivel de formación alcanzado	Periodo	Total
01 Andalucía	Hombres	Estudios primarios incompletos	2015T4	9,2
01 Andalucía	Hombres	Estudios primarios incompletos	2015T3	9,2
01 Andalucía	Hombres	Estudios primarios incompletos	2015T2	8,9
01 Andalucía	Hombres	Estudios primarios incompletos	2015T1	8,7
01 Andalucía	Hombres	Estudios primarios incompletos	2014T4	8,7
01 Andalucía	Hombres	Estudios primarios incompletos	2014T3	8,9
01 Andalucía	Hombres	Estudios primarios incompletos	2014T2	8,8
01 Andalucía	Hombres	Estudios primarios incompletos	2014T1	8,9
01 Andalucía	Hombres	Educación primaria	2025T4	10,3
01 Andalucía	Hombres	Educación primaria	2025T3	10,1
01 Andalucía	Hombres	Educación primaria	2025T2	10,1
01 Andalucía	Hombres	Educación primaria	2025T1	10,1
01 Andalucía	Hombres	Educación primaria	2024T4	10,2
01 Andalucía	Hombres	Educación primaria	2024T3	10,3
01 Andalucía	Hombres	Educación primaria	2024T2	10,8
01 Andalucía	Hombres	Educación primaria	2024T1	10,3
01 Andalucía	Hombres	Educación primaria	2023T4	10,1
01 Andalucía	Hombres	Educación primaria	2023T3	10,4
01 Andalucía	Hombres	Educación primaria	2023T2	11,3
01 Andalucía	Hombres	Educación primaria	2023T1	11,0
01 Andalucía	Hombres	Educación primaria	2022T4	11,2
01 Andalucía	Hombres	Educación primaria	2022T3	10,6
01 Andalucía	Hombres	Educación primaria	2022T2	10,8
01 Andalucía	Hombres	Educación primaria	2022T1	10,3
01 Andalucía	Hombres	Educación primaria	2021T4	10,3
01 Andalucía	Hombres	Educación primaria	2021T3	11,0
01 Andalucía	Hombres	Educación primaria	2021T2	11,0
01 Andalucía	Hombres	Educación primaria	2021T1	11,3
01 Andalucía	Hombres	Educación primaria	2020T4	11,8
01 Andalucía	Hombres	Educación primaria	2020T3	11,6
01 Andalucía	Hombres	Educación primaria	2020T2	12,8
01 Andalucía	Hombres	Educación primaria	2020T1	12,9
01 Andalucía	Hombres	Educación primaria	2019T4	12,4
01 Andalucía	Hombres	Educación primaria	2019T3	12,2
01 Andalucía	Hombres	Educación primaria	2019T2	12,4
01 Andalucía	Hombres	Educación primaria	2019T1	12,3
01 Andalucía	Hombres	Educación primaria	2018T4	12,7
01 Andalucía	Hombres	Educación primaria	2018T3	12,5
01 Andalucía	Hombres	Educación primaria	2018T2	13,1
01 Andalucía	Hombres	Educación primaria	2018T1	13,2
01 Andalucía	Hombres	Educación primaria	2017T4	13,2
01 Andalucía	Hombres	Educación primaria	2017T3	13,5
01 Andalucía	Hombres	Educación primaria	2017T2	13,4
01 Andalucía	Hombres	Educación primaria	2017T1	13,5
01 Andalucía	Hombres	Educación primaria	2016T4	13,3
01 Andalucía	Hombres	Educación primaria	2016T3	13,1
01 Andalucía	Hombres	Educación primaria	2016T2	13,7
01 Andalucía	Hombres	Educación primaria	2016T1	13,3
01 Andalucía	Hombres	Educación primaria	2015T4	13,5
01 Andalucía	Hombres	Educación primaria	2015T3	14,0
01 Andalucía	Hombres	Educación primaria	2015T2	14,4
01 Andalucía	Hombres	Educación primaria	2015T1	14,6
01 Andalucía	Hombres	Educación primaria	2014T4	14,8
01 Andalucía	Hombres	Educación primaria	2014T3	15,0
01 Andalucía	Hombres	Educación primaria	2014T2	15,1
01 Andalucía	Hombres	Educación primaria	2014T1	14,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2025T4	32,4
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2025T3	33,2
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2025T2	33,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2025T1	34,4
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2024T4	33,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2024T3	34,1
