Comunidad autónoma	Sexo	periodo	Total
Extremadura	HOMBRES	2021-22	48,6
Extremadura	HOMBRES	2020-21	49,0
Extremadura	HOMBRES	2019-20	57,8
Extremadura	HOMBRES	2018-19	48,6
Extremadura	HOMBRES	2017-18	49,6
Extremadura	HOMBRES	2016-17	46,1
Extremadura	MUJERES	2021-22	67,0
Extremadura	MUJERES	2020-21	65,8
Extremadura	MUJERES	2019-20	72,9
Extremadura	MUJERES	2018-19	65,9
Extremadura	MUJERES	2017-18	64,7
Extremadura	MUJERES	2016-17	63,9
Galicia	HOMBRES	2021-22	54,7
Galicia	HOMBRES	2020-21	52,7
Galicia	HOMBRES	2019-20	62,9
Galicia	HOMBRES	2018-19	52,8
Galicia	HOMBRES	2017-18	53,3
Galicia	HOMBRES	2016-17	53,6
Galicia	MUJERES	2021-22	69,8
Galicia	MUJERES	2020-21	70,1
Galicia	MUJERES	2019-20	73,1
Galicia	MUJERES	2018-19	69,6
Galicia	MUJERES	2017-18	69,8
Galicia	MUJERES	2016-17	70,1
Madrid, Comunidad de	HOMBRES	2021-22	58,7
Madrid, Comunidad de	HOMBRES	2020-21	56,5
Madrid, Comunidad de	HOMBRES	2019-20	63,4
Madrid, Comunidad de	HOMBRES	2018-19	55,5
Madrid, Comunidad de	HOMBRES	2017-18	57,4
Madrid, Comunidad de	HOMBRES	2016-17	58,8
Madrid, Comunidad de	MUJERES	2021-22	69,4
Madrid, Comunidad de	MUJERES	2020-21	68,1
Madrid, Comunidad de	MUJERES	2019-20	71,4
Madrid, Comunidad de	MUJERES	2018-19	67,6
Madrid, Comunidad de	MUJERES	2017-18	68,0
Madrid, Comunidad de	MUJERES	2016-17	69,1
Murcia, Región de	HOMBRES	2021-22	47,2
Murcia, Región de	HOMBRES	2020-21	46,6
Murcia, Región de	HOMBRES	2019-20	52,6
Murcia, Región de	HOMBRES	2018-19	47,7
Murcia, Región de	HOMBRES	2017-18	48,2
Murcia, Región de	HOMBRES	2016-17	48,7
Murcia, Región de	MUJERES	2021-22	63,8
Murcia, Región de	MUJERES	2020-21	63,8
Murcia, Región de	MUJERES	2019-20	62,8
Murcia, Región de	MUJERES	2018-19	62,7
Murcia, Región de	MUJERES	2017-18	63,1
Murcia, Región de	MUJERES	2016-17	64,4
Navarra, Comunidad Foral de	HOMBRES	2021-22	47,9
Navarra, Comunidad Foral de	HOMBRES	2020-21	49,9
Navarra, Comunidad Foral de	HOMBRES	2019-20	50,2
Navarra, Comunidad Foral de	HOMBRES	2018-19	48,6
Navarra, Comunidad Foral de	HOMBRES	2017-18	48,1
Navarra, Comunidad Foral de	HOMBRES	2016-17	49,2
Navarra, Comunidad Foral de	MUJERES	2021-22	64,1
Navarra, Comunidad Foral de	MUJERES	2020-21	68,4
Navarra, Comunidad Foral de	MUJERES	2019-20	66,6
Navarra, Comunidad Foral de	MUJERES	2018-19	63,9
Navarra, Comunidad Foral de	MUJERES	2017-18	64,1
Navarra, Comunidad Foral de	MUJERES	2016-17	67,1
País Vasco	HOMBRES	2021-22	59,6
País Vasco	HOMBRES	2020-21	59,0
País Vasco	HOMBRES	2019-20	56,3
País Vasco	HOMBRES	2018-19	57,2
País Vasco	HOMBRES	2017-18	59,8
País Vasco	HOMBRES	2016-17	58,9
País Vasco	MUJERES	2021-22	76,8
País Vasco	MUJERES	2020-21	75,8
País Vasco	MUJERES	2019-20	71,2
País Vasco	MUJERES	2018-19	73,4
País Vasco	MUJERES	2017-18	75,6
País Vasco	MUJERES	2016-17	75,6
Rioja, La	HOMBRES	2021-22	44,4
Rioja, La	HOMBRES	2020-21	39,4
Rioja, La	HOMBRES	2019-20	46,1
Rioja, La	HOMBRES	2018-19	43,2
Rioja, La	HOMBRES	2017-18	45,2
Rioja, La	HOMBRES	2016-17	46,3
Rioja, La	MUJERES	2021-22	60,4
Rioja, La	MUJERES	2020-21	61,3
Rioja, La	MUJERES	2019-20	61,6
Rioja, La	MUJERES	2018-19	61,9
Rioja, La	MUJERES	2017-18	60,7
Rioja, La	MUJERES	2016-17	60,8
Ceuta	HOMBRES	2021-22	36,2
Ceuta	HOMBRES	2020-21	32,9
Ceuta	HOMBRES	2019-20	41,9
Ceuta	HOMBRES	2018-19	32,8
Ceuta	HOMBRES	2017-18	29,0
Ceuta	HOMBRES	2016-17	35,2
Ceuta	MUJERES	2021-22	41,7
Ceuta	MUJERES	2020-21	46,8
Ceuta	MUJERES	2019-20	61,9
Ceuta	MUJERES	2018-19	47,2
Ceuta	MUJERES	2017-18	45,9
Ceuta	MUJERES	2016-17	45,9
Melilla	HOMBRES	2021-22	39,8
Melilla	HOMBRES	2020-21	42,7
Melilla	HOMBRES	2019-20	41,9
Melilla	HOMBRES	2018-19	32,9
Melilla	HOMBRES	2017-18	34,0
Melilla	HOMBRES	2016-17	37,8
Melilla	MUJERES	2021-22	58,8
Melilla	MUJERES	2020-21	57,2
Melilla	MUJERES	2019-20	60,1
Melilla	MUJERES	2018-19	56,1
Melilla	MUJERES	2017-18	48,8
Melilla	MUJERES	2016-17	58,7
